feature_set,held_out_domain,model,n_train,n_test,train_positive,test_positive,test_negative,roc_auc,pr_auc_ap,balanced_accuracy,f1,precision,recall,brier,threshold,mean_abs_standardized_mean_difference,mean_js_divergence
Conventional,Gilgit-Baltistan,Spatial-CV Stacked Ensemble,2595,721,1081,427,294,0.9712676639742548,0.9809971813498458,0.9212668674026988,0.927360774818402,0.9598997493734336,0.8969555035128806,0.0730914881240825,0.3499999999999999,0.5662229943886765,0.1212323268112187
AlphaEarth Embeddings,Gilgit-Baltistan,Spatial-CV Stacked Ensemble,2595,721,1081,427,294,0.9678503719989168,0.9720257207306464,0.9049291847886696,0.9260969976905312,0.9134396355353076,0.9391100702576112,0.067656305588282,0.4749999999999999,0.5449402697354627,0.0774998341942059
Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,Spatial-CV Stacked Ensemble,2595,721,1081,427,294,0.9792094823878028,0.9843110344524072,0.943319950931192,0.9559164733178654,0.9471264367816092,0.9648711943793912,0.0422704723261507,0.4199999999999999,0.5498122187524634,0.0875108867209919
