segment_id,length_km,route_code,is_kkh_proxy,road_type,road_rank,domain,sample_n,mean_fused_probability,max_fused_probability,mean_fused_transfer_confidence,mean_reliability_weighted_probability,mean_final_reliability_aware_score,mean_field_verification_priority,reliable_high_share,reliable_very_high_share,uncertain_high_share,fused_aoa_share,mean_model_disagreement_std,outside_aoa_share,reliability_aware_road_priority_score,field_verification_road_priority_score,hotspot_rank
1557,9.999999999999996,N15,False,Major road,2,Gilgit-Baltistan,10,0.9918823,0.99430656,5.3215026e-05,5.290095e-05,5.198855e-05,0.9998558,0.0,0.0,1.0,0.1,0.012730792,0.9,5.198855069465935e-05,1.3398558163642884,513
1558,9.999999999999972,N15,False,Major road,2,Gilgit-Baltistan,10,0.9395239,0.98787004,0.0,0.0,0.0,0.9998096,0.0,0.0,1.0,0.0,0.22264871,1.0,0.0,1.3498096227645875,1578
1618,10.000000000000046,N35,True,Highway,1,Gilgit-Baltistan,11,0.99409425,0.994781,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.008969641,1.0,0.0,1.35,1615
1616,9.99999999999999,N35,True,Highway,1,Gilgit-Baltistan,10,0.9880203,0.99460715,0.0,0.0,0.0,0.9982498,0.0,0.0,1.0,0.0,0.014795005,1.0,0.0,1.3482498288154603,1616
1615,9.999999999999988,N35,True,Highway,1,Gilgit-Baltistan,10,0.90037423,0.99375147,0.0,0.0,0.0,0.9341911,0.0,0.0,1.0,0.0,0.045956008,1.0,0.0,1.284191107749939,1617
1631,10.000000000000002,N35,True,Highway,1,Gilgit-Baltistan,11,0.9873375,0.99374753,0.0,0.0,0.0,0.9992346,0.0,0.0,1.0,0.0,0.017126622,1.0,0.0,1.3492346167564393,1628
1624,4.167247565622875,N35,True,Highway,1,Gilgit-Baltistan,6,0.9674918,0.9896058,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11884687,1.0,0.0,1.35,1629
1623,9.99999999999996,N35,True,Highway,1,Gilgit-Baltistan,10,0.9845077,0.9942614,0.0,0.0,0.0,0.99921113,0.0,0.0,1.0,0.0,0.03312395,1.0,0.0,1.3492111325263978,1630
1621,3.839830965417719,N35,True,Highway,1,Gilgit-Baltistan,5,0.98831284,0.9936942,0.0,0.0,0.0,0.9990934,0.0,0.0,1.0,0.0,0.020616537,1.0,0.0,1.3490934133529664,1631
1640,6.113761840626358,N35,True,Highway,1,Gilgit-Baltistan,8,0.9216147,0.9808995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.27138874,1.0,0.0,1.35,1656
1639,9.999999999999998,N35,True,Highway,1,Gilgit-Baltistan,10,0.9860891,0.99223125,0.0,0.0,0.0,0.99967706,0.0,0.0,1.0,0.0,0.046249412,1.0,0.0,1.349677062034607,1657
1638,10.000000000000057,N35,True,Highway,1,Gilgit-Baltistan,11,0.98887277,0.99262244,0.0,0.0,0.0,0.9995217,0.0,0.0,1.0,0.0,0.02030537,1.0,0.0,1.3495216727256776,1658
1636,9.999999999999991,N35,True,Highway,1,Gilgit-Baltistan,10,0.9919631,0.99283206,0.0,0.0,0.0,0.99905556,0.0,0.0,1.0,0.0,0.009947953,1.0,0.0,1.349055564403534,1659
