feature_set,held_out_domain,model,n_train,n_test,train_positive,test_positive,test_negative,roc_auc,pr_auc_ap,balanced_accuracy,f1,precision,recall,brier,threshold,mean_abs_standardized_mean_difference,mean_js_divergence
Conventional,Punjab-Sindh lowland corridor,Spatial-CV Stacked Ensemble,2910,406,1433,75,331,0.9899295065458208,0.9495865272180524,0.9380664652567976,0.7853403141361257,0.646551724137931,1.0,0.0554034754091409,0.3649999999999999,0.7302403853524128,0.1447137022929162
AlphaEarth Embeddings,Punjab-Sindh lowland corridor,Spatial-CV Stacked Ensemble,2910,406,1433,75,331,0.9653575025176234,0.8885396846796143,0.9119234642497482,0.8121212121212121,0.7444444444444445,0.8933333333333333,0.0553723990641517,0.4599999999999999,0.7760166004069184,0.1195985217182461
Conventional + AlphaEarth Embeddings,Punjab-Sindh lowland corridor,Spatial-CV Stacked Ensemble,2910,406,1433,75,331,0.9902920443101711,0.9544209830587675,0.9543202416918428,0.8780487804878049,0.8089887640449438,0.96,0.0334068302913108,0.3949999999999999,0.7655377078040798,0.1253477799220863
