segment_id,length_km,route_code,is_kkh_proxy,road_type,road_rank,domain,sample_n,mean_fused_probability,max_fused_probability,mean_fused_transfer_confidence,mean_reliability_weighted_probability,mean_final_reliability_aware_score,mean_field_verification_priority,reliable_high_share,reliable_very_high_share,uncertain_high_share,fused_aoa_share,mean_model_disagreement_std,outside_aoa_share,reliability_aware_road_priority_score,field_verification_road_priority_score,hotspot_rank
106,9.999999999999998,N5,False,Highway,1,Punjab-Sindh lowland corridor,10,0.2339191,0.5374238,0.009328562,0.0021330835,0.0017056754,0.28174847,0.0,0.0,0.9,0.3,0.072151974,0.7,0.0017056753858923,0.5767484736442565,415
143,9.999999999999996,N25,False,Highway,1,Punjab-Sindh lowland corridor,10,0.46353707,0.7649071,0.0046094237,0.0030502144,0.0016342558,0.6074053,0.0,0.0,1.0,0.1,0.19788006,0.9,0.0016342557501047,0.9474053049087524,418
210,9.999999999999828,N55,False,Highway,1,Punjab-Sindh lowland corridor,10,0.5760547,0.9881883,0.005513209,0.0017173929,0.0015478703,0.6285871,0.0,0.0,0.8,0.1,0.122647226,0.9,0.0015478703426197,0.9185871267318724,424
23,9.999999999999991,N5,False,Highway,1,Punjab-Sindh lowland corridor,10,0.20148072,0.4519984,0.007989931,0.0016316345,0.0013094668,0.285219,0.0,0.0,0.7,0.1,0.15297015,0.9,0.0013094667810946,0.5502190136909485,433
14,9.999999999999988,N5,False,Highway,1,Punjab-Sindh lowland corridor,10,0.21520719,0.52247417,0.0061224224,0.0015250451,0.00119453,0.2980292,0.0,0.0,1.0,0.2,0.11360453,0.8,0.0011945300502702,0.6280292141437531,439
321,1.37936249742693,unknown,False,Major road,2,Punjab-Sindh lowland corridor,4,0.25912258,0.47202453,0.004513681,0.0017776489,0.0010677995,0.32740486,0.0,0.0,0.75,0.5,0.11069675,0.5,0.0010677995160222,0.5649048566818238,443
40,10.00000000000001,M9,False,Highway,1,Punjab-Sindh lowland corridor,11,0.19840501,0.478383,0.0052115973,0.0014594338,0.0010615886,0.31066486,0.0,0.0,0.8181818181818182,0.0909090909090909,0.18727098,0.9090909090909092,0.0010615886421874,0.6061194078488784,444
7,9.99999999999998,M10,False,Highway,1,Punjab-Sindh lowland corridor,10,0.21752855,0.49436393,0.002646941,0.0013085522,0.0006849492,0.402385,0.0,0.0,0.8,0.1,0.31239635,0.9,0.0006849492201581,0.6923849964141845,459
29,10.000000000000014,M9,False,Highway,1,Punjab-Sindh lowland corridor,11,0.31935298,0.81078666,0.003114348,0.0007777352,0.0006115681,0.42103854,0.0,0.0,0.9090909090909092,0.3636363636363636,0.14521033,0.6363636363636364,0.000611568102613,0.7119476291266355,460
21,9.99999999999991,N5,False,Highway,1,Punjab-Sindh lowland corridor,10,0.28609982,0.79408586,0.0005743742,0.00045610243,0.00036945957,0.35682458,0.0,0.0,0.6,0.1,0.113471605,0.9,0.0003694595652632,0.5968245768547058,474
5,10.000000000000012,unknown,False,Major road,2,Punjab-Sindh lowland corridor,11,0.10178345,0.15150824,0.0036219032,0.00054874824,0.00034588462,0.11299739,0.0,0.0,0.0909090909090909,0.0909090909090909,0.15777263,0.9090909090909092,0.0003458846185822,0.2266337539662014,476
320,10.000000000000002,unknown,False,Major road,2,Punjab-Sindh lowland corridor,11,0.23221458,0.47202453,0.001064371,0.0005024092,0.00027195635,0.3066449,0.0,0.0,0.7272727272727273,0.0909090909090909,0.13932115,0.9090909090909092,0.0002719563490245,0.5793721594593741,481
190,10.000000000000083,N55,False,Highway,1,Punjab-Sindh lowland corridor,11,0.10182932,0.36122328,0.0019194863,0.00034090588,0.00026779957,0.11668125,0.0,0.0,0.1818181818181818,0.0909090909090909,0.13142362,0.9090909090909092,0.0002677995653357,0.2530448843132366,482
895,10.000000000000002,unknown,False,Major road,2,Punjab-Sindh lowland corridor,11,0.26964572,0.7667629,0.00091133337,0.00059219584,0.00025324378,0.4235597,0.0,0.0,0.7272727272727273,0.0909090909090909,0.27895525,0.9090909090909092,0.0002532437792979,0.6962869682095268,483
15,10.000000000000009,N5,False,Highway,1,Punjab-Sindh lowland corridor,11,0.16502944,0.38076186,0.0020407708,0.00028478698,0.00022347373,0.2456041,0.0,0.0,0.5454545454545454,0.0909090909090909,0.20155473,0.9090909090909092,0.0002234737330581,0.4728768251158974,486
39,9.999999999999998,M9,False,Highway,1,Punjab-Sindh lowland corridor,10,0.26735586,0.8317177,0.001211071,0.00034368265,0.00021389915,0.42808443,0.0,0.0,1.0,0.2,0.21694338,0.8,0.0002138991549145,0.7580844330787659,487
318,10.00000000000005,unknown,False,Major road,2,Punjab-Sindh lowland corridor,11,0.108678676,0.21601361,0.0011631738,0.00025126137,0.00021246228,0.14499438,0.0,0.0,0.2727272727272727,0.0909090909090909,0.12176475,0.9090909090909092,0.0002124622842529,0.3040852871808138,488
218,9.99999999999987,N55,False,Highway,1,Punjab-Sindh lowland corridor,10,0.31430167,0.81776327,0.0014634371,0.0003897973,0.0002115713,0.47366852,0.0,0.0,1.0,0.1,0.22118983,0.9,0.0002115712995873,0.8136685156822204,489
20,9.99999999999998,N5,False,Highway,1,Punjab-Sindh lowland corridor,10,0.36393112,0.6817433,0.0006745577,0.0002961063,0.00020781453,0.47358617,0.0,0.0,1.0,0.1,0.14808998,0.9,0.0002078145334962,0.8135861718654632,491
580,9.99999999999998,unknown,False,Major road,2,Punjab-Sindh lowland corridor,10,0.045759153,0.07023081,0.0031317293,0.00020742053,0.00019985829,0.045551736,0.0,0.0,0.0,0.2,0.050518274,0.8,0.000199858288397,0.125551735907793,493
122,10.00000000000006,N5,False,Highway,1,Punjab-Sindh lowland corridor,11,0.06450544,0.25093663,0.0012697198,0.00031861922,0.00018222163,0.07780785,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0934155,0.9090909090909092,0.0001822216290747,0.1914442147720944,495
180,10.000000000000002,N55,False,Highway,1,Punjab-Sindh lowland corridor,11,0.0959742,0.21798952,0.00081557035,0.0001777858,0.00014734788,0.1370957,0.0,0.0,0.2727272727272727,0.0909090909090909,0.09399751,0.9090909090909092,0.0001473478769185,0.2961866137656298,498
588,9.999999999999996,unknown,False,Major road,2,Punjab-Sindh lowland corridor,10,0.063832626,0.090632685,0.0041476847,0.00015707743,0.0001462774,0.06367555,0.0,0.0,0.0,0.1,0.058214106,0.9,0.0001462773943785,0.1536755526065826,499
1,9.999999999999996,unknown,False,Major road,1,Punjab-Sindh lowland corridor,10,0.31283578,0.5750777,0.0002613008,0.00015026827,0.00012402832,0.3914731,0.0,0.0,1.0,0.1,0.10611669,0.9,0.0001240283163497,0.731473114490509,501
