valid_pixels,min,p01,p05,p25,median,p75,p95,p99,max,mean,near_zero_percent_le_0_001,domain,feature_set,product
6390937,0.016183141618967056,0.016980770975351334,0.017542224377393723,0.01943531073629856,0.025298673659563065,0.047893624752759933,0.306430906057357,0.8174728727340695,0.9983638525009155,0.06926508992910385,0.0,Punjab-Sindh lowland corridor,Conventional,raw_probability
6390937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12248926401138044,0.741894543170929,0.003255131421610713,98.39827868746008,Punjab-Sindh lowland corridor,Conventional,transfer_confidence
6390937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.016165079548954964,98.38349212329898,Punjab-Sindh lowland corridor,Conventional,in_area_of_applicability
6390937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012963111437856823,0.5369888544082642,0.0010096243349835277,98.59907866405192,Punjab-Sindh lowland corridor,Conventional,reliability_weighted_probability
6390937,0.03255811333656311,0.03513537853956222,0.03543168976902962,0.036032211035490036,0.037569526582956314,0.04587182775139809,0.32481022477149957,0.9052808451652521,0.9793579578399658,0.07996004819869995,0.0,Punjab-Sindh lowland corridor,AlphaEarth Embeddings,raw_probability
6390937,0.0,0.0,0.08692227602005008,0.36455923318862915,0.5195243954658508,0.6258217096328735,0.7334290266036987,0.7895886063575741,0.999999463558197,0.4808870255947113,2.795396042865076,Punjab-Sindh lowland corridor,AlphaEarth Embeddings,transfer_confidence
6390937,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722517728805542,2.7748200303022856,Punjab-Sindh lowland corridor,AlphaEarth Embeddings,in_area_of_applicability
6390937,0.0,0.0,0.005713857989758254,0.016785720363259315,0.021280702203512192,0.025017498061060905,0.07759952098131176,0.32466045022010753,0.9793569445610046,0.03044744022190571,3.0432783174047873,Punjab-Sindh lowland corridor,AlphaEarth Embeddings,reliability_weighted_probability
6390937,0.020377222448587418,0.02047590047121048,0.02064860239624977,0.02138662151992321,0.023010024800896645,0.028167450800538063,0.17279680073261205,0.9085779762268064,0.9946175217628479,0.055600855499506,0.0,Punjab-Sindh lowland corridor,Conventional + AlphaEarth Embeddings,raw_probability
6390937,0.0,0.0,0.1778456211090088,0.3774905204772949,0.4809439778327942,0.5548676252365112,0.6267339229583739,0.6645177984237671,0.887642502784729,0.45196378231048584,1.8007844546112723,Punjab-Sindh lowland corridor,Conventional + AlphaEarth Embeddings,transfer_confidence
6390937,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9820635318756104,1.793649350635126,Punjab-Sindh lowland corridor,Conventional + AlphaEarth Embeddings,in_area_of_applicability
6390937,0.0,0.0,0.006424733065068722,0.009999033063650131,0.011674665845930576,0.013224031776189804,0.04534979984164232,0.3121700751781463,0.6793660521507263,0.020480899140238762,1.9325335236444985,Punjab-Sindh lowland corridor,Conventional + AlphaEarth Embeddings,reliability_weighted_probability
6390937,0.0,0.0,0.0059658106416463855,0.00969563890248537,0.011374170891940594,0.012845759280025959,0.03427607342600811,0.21942605972290008,0.6649165153503418,0.01731909066438675,1.9568022654581012,Punjab-Sindh lowland corridor,Final fused,final_fused_reliability_aware_score
6390937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00048427953151986003,99.9515720464777,Punjab-Sindh lowland corridor,Final fused,final_reliable_high_mask
6390937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009087399579584599,99.09126001398543,Punjab-Sindh lowland corridor,Final fused,final_reliable_very_high_mask
6390937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.052707452327013016,94.72925488077883,Punjab-Sindh lowland corridor,Final fused,final_uncertain_high_mask
6390937,0.002975426148623228,0.007132872343063355,0.007980773970484734,0.009782188571989536,0.012096721678972244,0.017876384779810905,0.2098477482795698,0.678604094982147,1.0,0.0413648784160614,0.0,Punjab-Sindh lowland corridor,Final fused,field_verification_priority_score
6390937,7.782544707879424e-05,0.004915286470204592,0.005926412995904684,0.007339835166931152,0.008224249817430973,0.01543910801410675,0.12460714727640151,0.2588616096973399,0.42708560824394226,0.025161786004900932,0.009982886703467739,Punjab-Sindh lowland corridor,Final fused,model_disagreement_std
