feature_set,held_out_domain,model,n_train,n_test,train_positive,test_positive,test_negative,roc_auc,pr_auc_ap,balanced_accuracy,f1,precision,recall,brier,threshold,mean_abs_standardized_mean_difference,mean_js_divergence
Conventional,Balochistan,Spatial-CV Stacked Ensemble,2324,992,992,516,476,0.8969692528174061,0.9104995549000908,0.8100205198358412,0.8130563798219584,0.8303030303030303,0.7965116279069767,0.1360613720439219,0.3949999999999999,0.5329855101902891,0.1430993898537915
AlphaEarth Embeddings,Balochistan,Spatial-CV Stacked Ensemble,2324,992,992,516,476,0.8343226825613966,0.8222638043086319,0.7528092632401797,0.7743732590529248,0.7433155080213903,0.8081395348837209,0.1763282402197786,0.605,0.7896417750190261,0.1256536730906735
Conventional + AlphaEarth Embeddings,Balochistan,Spatial-CV Stacked Ensemble,2324,992,992,516,476,0.9134950491824636,0.9194160589557308,0.8121702169239788,0.8346883468834688,0.7817258883248731,0.8953488372093024,0.1210690947371559,0.4299999999999999,0.7308891360823273,0.1296472709039173
