feature_set,model,curve,x,y,threshold
conventional_reduced,xgboost,roc,0.0,0.0,inf
conventional_reduced,xgboost,roc,0.0,0.000663129973474801,0.960992991924286
conventional_reduced,xgboost,roc,0.0,0.0033156498673740055,0.952604353427887
conventional_reduced,xgboost,roc,0.0005530973451327434,0.0033156498673740055,0.9515546560287476
conventional_reduced,xgboost,roc,0.0005530973451327434,0.013925729442970823,0.9293273687362672
conventional_reduced,xgboost,roc,0.0011061946902654867,0.013925729442970823,0.9292490482330322
conventional_reduced,xgboost,roc,0.0011061946902654867,0.015915119363395226,0.9264809489250184
conventional_reduced,xgboost,roc,0.0011061946902654867,0.017241379310344827,0.9258835911750792
conventional_reduced,xgboost,roc,0.0011061946902654867,0.01856763925729443,0.9234489798545836
conventional_reduced,xgboost,roc,0.0011061946902654867,0.01989389920424403,0.9229201674461364
conventional_reduced,xgboost,roc,0.0011061946902654867,0.02453580901856764,0.9180524349212646
conventional_reduced,xgboost,roc,0.0011061946902654867,0.02586206896551724,0.9159889817237854
conventional_reduced,xgboost,roc,0.0011061946902654867,0.029177718832891247,0.9106311202049256
conventional_reduced,xgboost,roc,0.0011061946902654867,0.03050397877984085,0.9072155952453612
conventional_reduced,xgboost,roc,0.00165929203539823,0.03050397877984085,0.9028454422950744
conventional_reduced,xgboost,roc,0.00165929203539823,0.033819628647214856,0.8978297114372253
conventional_reduced,xgboost,roc,0.00165929203539823,0.035145888594164454,0.8942484855651855
conventional_reduced,xgboost,roc,0.00165929203539823,0.03580901856763926,0.8940067291259766
conventional_reduced,xgboost,roc,0.0027654867256637168,0.03580901856763926,0.889572262763977
conventional_reduced,xgboost,roc,0.0027654867256637168,0.03779840848806366,0.8877569437026978
conventional_reduced,xgboost,roc,0.00331858407079646,0.03779840848806366,0.8875259757041931
conventional_reduced,xgboost,roc,0.00331858407079646,0.038461538461538464,0.8870671987533569
conventional_reduced,xgboost,roc,0.00331858407079646,0.04045092838196287,0.8855829834938049
