domain,area_km2,mean_fused_probability,mean_fused_transfer_confidence,mean_reliability_aware_score,reliable_high_area_km2,reliable_high_area_percent,reliable_very_high_area_km2,uncertain_high_area_km2,uncertain_high_area_percent,outside_fused_aoa_area_km2,outside_fused_aoa_percent
"Kashgar (Xinjiang, China)",182260.7464006562,0.0841771587729454,0.3728346824645996,0.019513638690114,168.6652711453582,0.0925406454632794,936.6096360432408,19123.849609157536,10.492577248157634,2056.1765091254138,1.1281510416979237
Gilgit-Baltistan,68129.42107345471,0.1842543929815292,0.3281855881214142,0.036931823939085,430.2785173167107,0.6315605072481091,1022.1742250567166,14670.596771291746,21.53342350505875,1535.0767500629363,2.2531774465071
KP-AJK,115200.63392518724,0.1942689269781112,0.2417814433574676,0.0258032921701669,110.26434563591349,0.0957150511059865,492.693700236415,35476.15599765091,30.79510484351117,10763.635355335464,9.3433820531973
Balochistan,345152.2462107119,0.2053331136703491,0.3980859518051147,0.0574986226856708,1130.1276085551783,0.3274287277462036,21986.97309997763,98490.71112785208,28.535439710777524,3935.929668710931,1.1403459522346804
Punjab-Sindh lowland corridor,347990.65736210503,0.055600855499506,0.4519637823104858,0.0173190906643867,171.96369491749357,0.049416181520803,3213.619095652809,18249.2217480428,5.244170026396252,6202.991139843436,1.7825165729632948
