feature_set,model,curve,x,y,threshold
conventional_v3,stacked_l2_logistic,roc,0.0,0.0,inf
conventional_v3,stacked_l2_logistic,roc,0.0,0.0006631299734748,0.9991141616513526
conventional_v3,stacked_l2_logistic,roc,0.0,0.0125994694960212,0.9989460599863592
conventional_v3,stacked_l2_logistic,roc,0.0,0.0139257294429708,0.998918160330564
conventional_v3,stacked_l2_logistic,roc,0.0,0.0225464190981432,0.9988284015622558
conventional_v3,stacked_l2_logistic,roc,0.0,0.0238726790450928,0.9988209225065297
conventional_v3,stacked_l2_logistic,roc,0.0,0.0258620689655172,0.9987851432520916
conventional_v3,stacked_l2_logistic,roc,0.0,0.0271883289124668,0.9987368288039368
conventional_v3,stacked_l2_logistic,roc,0.0,0.0291777188328912,0.9986470253586834
conventional_v3,stacked_l2_logistic,roc,0.0,0.0305039787798408,0.9986468752436094
conventional_v3,stacked_l2_logistic,roc,0.0,0.039787798408488,0.9983961947787544
conventional_v3,stacked_l2_logistic,roc,0.0,0.0411140583554376,0.9983936089205449
conventional_v3,stacked_l2_logistic,roc,0.0,0.0603448275862069,0.998014324370066
conventional_v3,stacked_l2_logistic,roc,0.0,0.0616710875331565,0.9979908927838406
conventional_v3,stacked_l2_logistic,roc,0.0,0.0643236074270557,0.997963308356414
conventional_v3,stacked_l2_logistic,roc,0.0,0.0656498673740053,0.997961952995071
conventional_v3,stacked_l2_logistic,roc,0.0,0.0901856763925729,0.9975879227531972
conventional_v3,stacked_l2_logistic,roc,0.0,0.0915119363395225,0.9975862183262244
conventional_v3,stacked_l2_logistic,roc,0.0,0.1014588859416445,0.997380509293572
conventional_v3,stacked_l2_logistic,roc,0.0,0.1027851458885941,0.9973765196318536
conventional_v3,stacked_l2_logistic,roc,0.0,0.1054376657824933,0.997332591836814
conventional_v3,stacked_l2_logistic,roc,0.0,0.1067639257294429,0.9973164621594134
conventional_v3,stacked_l2_logistic,roc,0.0,0.1114058355437665,0.9972770590388748
conventional_v3,stacked_l2_logistic,roc,0.0,0.1127320954907161,0.9972682407786309
conventional_v3,stacked_l2_logistic,roc,0.0,0.1173740053050397,0.9972298873906318
conventional_v3,stacked_l2_logistic,roc,0.0,0.1187002652519893,0.9972260299018127
conventional_v3,stacked_l2_logistic,roc,0.0,0.1405835543766578,0.9969064779266398
conventional_v3,stacked_l2_logistic,roc,0.0,0.143236074270557,0.9968968871653175
conventional_v3,stacked_l2_logistic,roc,0.0,0.1445623342175066,0.9968583172063918
conventional_v3,stacked_l2_logistic,roc,0.0,0.1458885941644562,0.9968461616237112
conventional_v3,stacked_l2_logistic,roc,0.0,0.1518567639257294,0.9967357874664632
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.1518567639257294,0.9967319745392956
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.1545092838196286,0.9967226422408508
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.169761273209549,0.996414432082314
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.1710875331564986,0.996398875862302
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.1790450928381962,0.996315037012538
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.1803713527851458,0.9962555544290408
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.1936339522546419,0.9959667158025722
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.1949602122015915,0.9959640603411548
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2002652519893899,0.9958998293747472
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2015915119363395,0.9958879074681912
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2108753315649867,0.9957898242859812
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2122015915119363,0.9957857382105954
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2128647214854111,0.9957653783075668
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2141909814323607,0.995759688652443
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2208222811671087,0.9955371803399984
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2221485411140583,0.9955296555789828
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2228116710875331,0.99549138566715
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2241379310344827,0.995470323255698
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2301061007957559,0.9953399780878384
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2314323607427055,0.9953313694219924
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2340848806366047,0.995311447822075
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2354111405835544,0.9953107228772158
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327,0.2407161803713527,0.9950268809256664
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2407161803713527,0.9950241700255684
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2427055702917772,0.9949637986328228
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2453580901856764,0.9949569279635296
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2473474801061008,0.9949463301724336
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2486737400530504,0.9949016585366534
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2513262599469496,0.9948035160072614
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2526525198938992,0.9947945456157984
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2612732095490716,0.994591402121892
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2625994694960212,0.9945777104938872
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2645888594164456,0.9945479564154752
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2659151193633952,0.9945322308955508
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.28315649867374,0.9938871405306322
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2844827586206896,0.9938683601218956
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2864721485411141,0.9938493623333798
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2877984084880636,0.993826042047988
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2911140583554377,0.9937332841252854
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.2924403183023872,0.99371527843299
conventional_v3,stacked_l2_logistic,roc,0.0011061946902654,0.3003978779840849,0.9934665192188916
conventional_v3,stacked_l2_logistic,roc,0.0016592920353982,0.3003978779840849,0.9934435975090176
conventional_v3,stacked_l2_logistic,roc,0.0016592920353982,0.3083554376657825,0.9931712776711707
conventional_v3,stacked_l2_logistic,roc,0.0016592920353982,0.3096816976127321,0.9931685197522816
conventional_v3,stacked_l2_logistic,roc,0.0016592920353982,0.3183023872679045,0.9929903544637512
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309,0.3183023872679045,0.992888773100982
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309,0.3229442970822281,0.9927693047184368
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309,0.3242705570291777,0.9927628141934556
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309,0.3481432360742705,0.9915509893894257
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309,0.3494694960212202,0.9914466814987616
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309,0.3600795755968169,0.9908741742346626
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309,0.3614058355437666,0.9908315820162192
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309,0.3779840848806366,0.9900110945263544
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309,0.3793103448275862,0.9900064732942724
conventional_v3,stacked_l2_logistic,roc,0.0022123893805309,0.3852785145888594,0.9896101176148238
conventional_v3,stacked_l2_logistic,roc,0.0027654867256637,0.3852785145888594,0.9895718395587338
conventional_v3,stacked_l2_logistic,roc,0.0027654867256637,0.3872679045092838,0.9894744933231282
conventional_v3,stacked_l2_logistic,roc,0.0027654867256637,0.3885941644562334,0.989461931793621
conventional_v3,stacked_l2_logistic,roc,0.0027654867256637,0.3919098143236074,0.9891963232032492
conventional_v3,stacked_l2_logistic,roc,0.0033185840707964,0.3919098143236074,0.9890105427120546
conventional_v3,stacked_l2_logistic,roc,0.0033185840707964,0.3972148541114058,0.9886106038098148
conventional_v3,stacked_l2_logistic,roc,0.0038716814159292,0.3972148541114058,0.988592627861744
conventional_v3,stacked_l2_logistic,roc,0.0038716814159292,0.4058355437665782,0.9881903024313564
conventional_v3,stacked_l2_logistic,roc,0.0044247787610619,0.4058355437665782,0.9881313367492778
conventional_v3,stacked_l2_logistic,roc,0.0044247787610619,0.406498673740053,0.988131040444834
conventional_v3,stacked_l2_logistic,roc,0.0049778761061946,0.406498673740053,0.9881254238664258
conventional_v3,stacked_l2_logistic,roc,0.0049778761061946,0.4071618037135278,0.9879635524853674
conventional_v3,stacked_l2_logistic,roc,0.0049778761061946,0.4084880636604774,0.9879520094180166
conventional_v3,stacked_l2_logistic,roc,0.0049778761061946,0.4310344827586206,0.9858456774980062
conventional_v3,stacked_l2_logistic,roc,0.0049778761061946,0.4323607427055703,0.9857503037114524
conventional_v3,stacked_l2_logistic,roc,0.0049778761061946,0.4436339522546419,0.9844891825066012
conventional_v3,stacked_l2_logistic,roc,0.0049778761061946,0.4449602122015915,0.9844598246492852
conventional_v3,stacked_l2_logistic,roc,0.0055309734513274,0.4449602122015915,0.98438465925369
conventional_v3,stacked_l2_logistic,roc,0.0055309734513274,0.4469496021220159,0.9843309209013322
conventional_v3,stacked_l2_logistic,roc,0.0060840707964601,0.4469496021220159,0.9842719611446664
