feature_set,recall,precision,threshold
Conventional + AlphaEarth Embeddings,1.0,0.4645717806531115,0.0154015306811221
Conventional + AlphaEarth Embeddings,1.0,0.4647149460708782,0.0154135204397158
Conventional + AlphaEarth Embeddings,1.0,0.4648581997533909,0.0154183610704486
Conventional + AlphaEarth Embeddings,1.0,0.4650015417823003,0.0154214251609603
Conventional + AlphaEarth Embeddings,1.0,0.4651449722393584,0.0154430512289355
Conventional + AlphaEarth Embeddings,1.0,0.4652884912064178,0.0154457617718974
Conventional + AlphaEarth Embeddings,1.0,0.4654320987654321,0.015466995065488
Conventional + AlphaEarth Embeddings,1.0,0.4655757949984563,0.0154919139654971
Conventional + AlphaEarth Embeddings,1.0,0.4657195799876467,0.0155045478875352
Conventional + AlphaEarth Embeddings,1.0,0.465863453815261,0.0155105792948636
Conventional + AlphaEarth Embeddings,1.0,0.4660074165636588,0.0155156880590167
Conventional + AlphaEarth Embeddings,1.0,0.4661514683153014,0.0156017735114723
Conventional + AlphaEarth Embeddings,1.0,0.466295609152752,0.0156048945409218
Conventional + AlphaEarth Embeddings,1.0,0.4664398391586761,0.0156133910618383
Conventional + AlphaEarth Embeddings,1.0,0.4665841584158416,0.0156182550877615
Conventional + AlphaEarth Embeddings,1.0,0.4667285670071185,0.0156264482239344
Conventional + AlphaEarth Embeddings,1.0,0.4668730650154798,0.0156281789618303
Conventional + AlphaEarth Embeddings,1.0,0.4670176525240012,0.0156378111449944
Conventional + AlphaEarth Embeddings,1.0,0.4671623296158612,0.0156807276027249
Conventional + AlphaEarth Embeddings,1.0,0.4673070963743415,0.0157041195304305
Conventional + AlphaEarth Embeddings,1.0,0.467451952882827,0.0157434500925704
Conventional + AlphaEarth Embeddings,1.0,0.4675968992248062,0.0157520454304307
Conventional + AlphaEarth Embeddings,1.0,0.4677419354838709,0.0157904781854879
Conventional + AlphaEarth Embeddings,1.0,0.467887061743717,0.0157925338871185
Conventional + AlphaEarth Embeddings,1.0,0.468032278088144,0.0158342958321651
Conventional + AlphaEarth Embeddings,1.0,0.4681775846010556,0.0158437336993896
Conventional + AlphaEarth Embeddings,1.0,0.4683229813664596,0.0158667014717478
Conventional + AlphaEarth Embeddings,1.0,0.4684684684684684,0.0158847982043037
Conventional + AlphaEarth Embeddings,1.0,0.4686140459912989,0.0158884896728362
Conventional + AlphaEarth Embeddings,1.0,0.4687597140192726,0.015896664581555
Conventional + AlphaEarth Embeddings,1.0,0.4689054726368159,0.0159118967060038
Conventional + AlphaEarth Embeddings,1.0,0.4690513219284603,0.0159185358332177
Conventional + AlphaEarth Embeddings,1.0,0.4691972619788425,0.0159715761706593
Conventional + AlphaEarth Embeddings,1.0,0.4693432928727046,0.0159788478879721
Conventional + AlphaEarth Embeddings,1.0,0.4694894146948941,0.0159844578154958
Conventional + AlphaEarth Embeddings,1.0,0.4696356275303643,0.0159867558057799
Conventional + AlphaEarth Embeddings,1.0,0.4697819314641744,0.0160088845091706
Conventional + AlphaEarth Embeddings,1.0,0.4699283265814896,0.0160187533054032
Conventional + AlphaEarth Embeddings,1.0,0.470074812967581,0.0160285168369563
Conventional + AlphaEarth Embeddings,1.0,0.4702213907078266,0.0160511515250164
Conventional + AlphaEarth Embeddings,1.0,0.4703680598877105,0.0160801588721741
Conventional + AlphaEarth Embeddings,1.0,0.4705148205928237,0.0160816514304609
Conventional + AlphaEarth Embeddings,1.0,0.4706616729088639,0.0160992734031297
Conventional + AlphaEarth Embeddings,1.0,0.4708086169216359,0.0161109250168603
Conventional + AlphaEarth Embeddings,1.0,0.4709556527170518,0.0161435034468174
Conventional + AlphaEarth Embeddings,1.0,0.4711027803811309,0.0161492053485885
Conventional + AlphaEarth Embeddings,1.0,0.47125,0.016173857424711
Conventional + AlphaEarth Embeddings,1.0,0.4713973116598937,0.0162172512525009
Conventional + AlphaEarth Embeddings,1.0,0.4715447154471545,0.016252209660096
Conventional + AlphaEarth Embeddings,1.0,0.4716922114482327,0.0162559984524401
Conventional + AlphaEarth Embeddings,1.0,0.4718397997496871,0.0162619161752141
Conventional + AlphaEarth Embeddings,1.0,0.4719874804381846,0.0162765521885025
Conventional + AlphaEarth Embeddings,1.0,0.4721352536005009,0.0162783736640619
Conventional + AlphaEarth Embeddings,1.0,0.4722831193235202,0.0162795412200814
Conventional + AlphaEarth Embeddings,1.0,0.4724310776942356,0.016289004233162
Conventional + AlphaEarth Embeddings,1.0,0.4725791287997493,0.0162909070813819
Conventional + AlphaEarth Embeddings,1.0,0.4727272727272727,0.0163144213385403
Conventional + AlphaEarth Embeddings,1.0,0.4728755095641266,0.016328903707902
Conventional + AlphaEarth Embeddings,1.0,0.4730238393977415,0.0163443647609158
Conventional + AlphaEarth Embeddings,1.0,0.4731722623156573,0.0163447517099948
Conventional + AlphaEarth Embeddings,1.0,0.4733207784055241,0.0163980435911751
Conventional + AlphaEarth Embeddings,1.0,0.473469387755102,0.0164504904902492
Conventional + AlphaEarth Embeddings,1.0,0.4736180904522613,0.0165094828216442
Conventional + AlphaEarth Embeddings,1.0,0.4737668865849827,0.0165179640838841
Conventional + AlphaEarth Embeddings,1.0,0.4739157762413576,0.0165363022668963
Conventional + AlphaEarth Embeddings,1.0,0.4740647595095882,0.0165409071491035
Conventional + AlphaEarth Embeddings,1.0,0.4742138364779874,0.0165661761769739
Conventional + AlphaEarth Embeddings,1.0,0.4743630072349795,0.0165730975572263
Conventional + AlphaEarth Embeddings,1.0,0.4745122718691,0.0165854303934956
Conventional + AlphaEarth Embeddings,1.0,0.4746616304689959,0.0166323945720809
Conventional + AlphaEarth Embeddings,1.0,0.4748110831234257,0.0167327893256326
Conventional + AlphaEarth Embeddings,1.0,0.4749606299212598,0.0167555667721337
Conventional + AlphaEarth Embeddings,1.0,0.4751102709514808,0.0168005214457451
Conventional + AlphaEarth Embeddings,1.0,0.4752600063031831,0.0168128526770291
Conventional + AlphaEarth Embeddings,1.0,0.4754098360655737,0.0168286254434897
Conventional + AlphaEarth Embeddings,1.0,0.4755597603279722,0.0168557225210564
Conventional + AlphaEarth Embeddings,1.0,0.4757097791798107,0.0168814475319782
Conventional + AlphaEarth Embeddings,1.0,0.4758598927106343,0.0169132862131009
Conventional + AlphaEarth Embeddings,1.0,0.476010101010101,0.0169966694766795
Conventional + AlphaEarth Embeddings,1.0,0.4761604041679823,0.0170688021424186
Conventional + AlphaEarth Embeddings,1.0,0.476310802274163,0.0170709055668059
Conventional + AlphaEarth Embeddings,1.0,0.4764612954186414,0.0170990161902855
Conventional + AlphaEarth Embeddings,1.0,0.4766118836915297,0.017193785087475
