feature_set,feature_set_name,model,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,brier_mean,brier_std
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,xgboost,XGBoost,0.9726160997887552,0.0167936346995942,0.960218160776083,0.0354760396149938,0.9065078520243957,0.0585071772988025,0.8898077397954914,0.0791699363712901,0.0617179002263785,0.0250940222114798
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,catboost,CatBoost,0.9716027902980926,0.0192932290313452,0.9585697942671308,0.04085055407898,0.9000899553615263,0.0714920914316007,0.8802650373492169,0.0982141756846229,0.062372875849832,0.0275423297371461
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,lightgbm,LightGBM,0.97088249677202,0.0184946657728605,0.9574334493063504,0.038751395352139,0.82150859190111,0.0879061839436248,0.7718344642963737,0.149850389781696,0.0659297630435549,0.0289764673797532
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.971809201399908,0.0180065091549441,0.956814306000559,0.0373856026700978,0.913982588158108,0.0561096216546567,0.8968901111441554,0.0763696739797322,0.0602586885037313,0.0256279290051359
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,random_forest,Random Forest,0.96769088800237,0.0179956444230648,0.9498285836095932,0.0399917877124413,0.8977831877746791,0.0522153398787352,0.8812975046966873,0.0717332268156971,0.0769608565707583,0.0167408756542385
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,extra_trees,Extra Trees,0.9657108780110796,0.0200503377003489,0.9480306990726352,0.0412111819675083,0.8466529620774897,0.0644865398150979,0.8138868381933815,0.088363643079296,0.0851911619357854,0.0183664165127609
conventional_v3,Conventional v3,extra_trees,Extra Trees,0.962206058236278,0.0184172145006586,0.9476275667773388,0.0367753610986173,0.7978729748487424,0.0703044416591261,0.7399156898001626,0.1086928058266357,0.1046093079802965,0.0273929061722553
conventional_v3,Conventional v3,catboost,CatBoost,0.9603960139924596,0.0170729939924712,0.9464248894080196,0.0324000130484498,0.8371587366648756,0.0555506457196323,0.8018846629225808,0.0779305744506278,0.0891763325478936,0.0293459693883973
conventional_v3,Conventional v3,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9614453393907796,0.0163893080132594,0.9453531434692796,0.0350991122891424,0.8947043351085853,0.0263232847846288,0.8780032718487464,0.0414845305164193,0.0745745283315413,0.0146988188685346
conventional_v3,Conventional v3,random_forest,Random Forest,0.9611959359196112,0.0133492122623932,0.9440563209466314,0.033054741123068,0.857849098733124,0.03527254201303,0.8303393074360471,0.0568627080179437,0.0893982150952514,0.0164460965681435
conventional_v3,Conventional v3,xgboost,XGBoost,0.9576579708857288,0.0184439321254184,0.9419918847999292,0.0354870682853877,0.8530707637338164,0.0471484628317758,0.8252378244424017,0.0671349969279634,0.0918395326727421,0.0310806133347224
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),0.9593555507873112,0.0288779108113825,0.9404744521284368,0.0578586577857246,0.8773996089681602,0.0716491414883273,0.8542917930106354,0.1016079329536135,0.0782919648928271,0.0322086420914894
conventional_v3,Conventional v3,lightgbm,LightGBM,0.9564459356262268,0.0174375368507048,0.9380828192284154,0.0410196029232746,0.8011267408733758,0.0551666838725661,0.7476004239230055,0.0885865077945378,0.0989124773177086,0.0223515557414108
alphaearth_embeddings,AlphaEarth Embeddings,xgboost,XGBoost,0.9476102683412954,0.024973543091583,0.9232334863841404,0.0564660252058625,0.8755355444378224,0.0432881045423836,0.8534558719244829,0.0650729233186106,0.0865775303708978,0.0200502981735757
alphaearth_embeddings,AlphaEarth Embeddings,lightgbm,LightGBM,0.945539335404736,0.025228054287755,0.9223081698066804,0.0581277436697707,0.8302303213531872,0.0565715193508408,0.7939385846139718,0.0794546207142752,0.0902152465308685,0.0241928063703312
alphaearth_embeddings,AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9505974570434352,0.0251816370262657,0.9217711769448352,0.0592747412070299,0.8791206925589405,0.0384327701833872,0.8596779565045363,0.0666592298465981,0.082305208599216,0.0196334314512443
alphaearth_embeddings,AlphaEarth Embeddings,catboost,CatBoost,0.946209063439004,0.0285929101787072,0.921010125033356,0.0626951515747445,0.8731939132105694,0.0482211885300742,0.851256042025468,0.0700500687846934,0.0850757756819839,0.0196910180263643
alphaearth_embeddings,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),0.9468635259381358,0.0249526862982247,0.918968042907862,0.064510710758526,0.8746499439680907,0.0434104589680874,0.8521438522655487,0.0680621082638921,0.0854402677267007,0.0196181434084503
alphaearth_embeddings,AlphaEarth Embeddings,extra_trees,Extra Trees,0.941886410227482,0.0267679393702551,0.9156386752315328,0.0573068812470208,0.8475920705876803,0.0454461518047931,0.8159920454826446,0.0574406980858715,0.0978386846942396,0.0173009559936033
alphaearth_embeddings,AlphaEarth Embeddings,random_forest,Random Forest,0.9394756341516188,0.030097362239799,0.9120815862730348,0.0679272188272729,0.8569981465351129,0.0526899972841322,0.8335321883189364,0.0787724252812925,0.0977137709701115,0.0192532219675768
conventional_v3,Conventional v3,logistic_l2,Logistic Regression (L2),0.9229953462656244,0.049682477865138,0.8979921947298146,0.0938196864731092,0.8264914901698676,0.0922475821739872,0.7835371409061548,0.1488717203735823,0.1088760654771727,0.0304601041348662
