feature_set,model,roc_auc,pr_auc_ap,balanced_accuracy,f1,brier,n
Conventional + AlphaEarth Embeddings,Spatial-CV Stacked Ensemble,0.9688948762939836,0.9612028365429433,0.9219384521490106,0.9148514851485148,0.0609770799832706,3316
Conventional,Spatial-CV Stacked Ensemble,0.9607300884955752,0.9544046106204696,0.9040251402549236,0.8954635108481263,0.0739899057100036,3316
AlphaEarth Embeddings,Spatial-CV Stacked Ensemble,0.9509855989296024,0.9409812544197969,0.8899820426750547,0.8803670927564733,0.0833176674659781,3316
