feature_set,study_area_valid_pixels,mean_probability,mean_transfer_confidence,mean_reliability_weighted_probability,p80_reliability_weighted_probability,p90_reliability_weighted_probability,inside_aoa_percent
Conventional,19996413,0.1584312915802002,0.0710874125361442,0.0123112527653574,0.0078826444223523,0.0226629376411438,34.4315302949584
AlphaEarth Embeddings,19996413,0.1734887063503265,0.4112858474254608,0.0604326575994491,0.063396081328392,0.189682051539421,95.80039680116629
Conventional + AlphaEarth Embeddings,19996413,0.1321677714586258,0.3884769380092621,0.0418825782835483,0.0355866700410842,0.1138706654310226,97.6619006618837
