feature_set,feature_set_name,outer_fold,n_train_before_buffer,n_train_after_buffer,n_test,n_test_positive,n_test_negative,outer_buffer_km,inner_buffer_km,roc_auc,pr_auc,balanced_accuracy,f1,precision,sensitivity,specificity,brier,log_loss,ece_10bin,threshold
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,1,1349,1160,281,156,125,20.0,20.0,0.9196410256410257,0.9388097697498935,0.8598461538461539,0.8600682593856656,0.9197080291970803,0.8076923076923077,0.912,0.11534018666884198,0.37602902755999823,0.07216065235744332,0.5340908199033313
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,2,968,763,662,376,286,20.0,20.0,0.8894044785002231,0.9276951619832194,0.7995833953280762,0.8304862023653088,0.8207792207792208,0.8404255319148937,0.7587412587412588,0.12998806439525995,0.40554163977833024,0.025999786234996602,0.32084376772305884
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,3,1440,1327,190,90,100,20.0,20.0,0.9122222222222222,0.9194998062459032,0.8455555555555556,0.8342857142857143,0.8588235294117647,0.8111111111111111,0.88,0.11477623421580038,0.36892912587828447,0.035044406090005704,0.3711579880968441
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,4,1424,1347,206,63,143,20.0,20.0,0.968031968031968,0.9301718117255175,0.9123099123099123,0.855072463768116,0.7866666666666666,0.9365079365079365,0.8881118881118881,0.07751740221728048,0.28375355476365677,0.10507530102042094,0.4620770116122856
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,5,1339,1262,291,130,161,20.0,20.0,0.9196368848542762,0.9103737177291774,0.7930960344003822,0.7880794701986755,0.6918604651162791,0.9153846153846154,0.6708074534161491,0.12064377213273597,0.3899783714962264,0.08560349847353672,0.305142374316515
