feature_set,feature_set_name,model,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,brier_mean,brier_std,delta_pr_auc_vs_conventional,delta_roc_auc_vs_conventional
fused_gem_usgs_seismic,Conventional + AlphaEarth Embeddings + seismic factors,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9729944612618118,0.016612949345835088,0.9584857656576501,0.035457748498136224,0.9123089406884265,0.059139081093853914,0.8963120556769528,0.0796783492625079,0.05938083514713999,0.023835702005304972,0.013132622188370413,0.011549121871032186
fused_current,Conventional + AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9718092013999081,0.01800650915494413,0.956814306000559,0.03738560267009786,0.9139825881581081,0.05610962165465674,0.8968901111441554,0.0763696739797322,0.06025868850373155,0.025627929005136482,0.011461162531279268,0.010363862009128533
conventional_all_seismic_diagnostic,Conventional + all seismic factors (diagnostic),stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9662447038766059,0.016705495680505923,0.9525669824144473,0.034431904424322105,0.8932744255803003,0.057908897634396515,0.8747063194253627,0.08337165360276146,0.06935998778750328,0.01637533647448182,0.007213838945167583,0.004799364485826296
conventional_gem_usgs_seismic,Conventional + GEM PGA + annual USGS seismic factors,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9654728798103662,0.01456650125516948,0.9514980328411656,0.030836788647827518,0.8987807910113237,0.04474833226207451,0.8808716470559667,0.06470868590284672,0.06980655192651522,0.01296978343202867,0.006144889371885953,0.004027540419586639
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9652695260177648,0.015316068169696625,0.9501372853560334,0.03296929450015203,0.9006740562075333,0.036866414281773584,0.8841621944677616,0.058757207026493466,0.07043826554064667,0.01434337192042318,0.00478414188675369,0.0038241866269852487
conventional_gem_pga,Conventional + GEM PGA,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9639105004172484,0.015115414371904392,0.9499929622663705,0.03171516406729435,0.904244048459119,0.02733045082864809,0.8865571647916447,0.044248972082612276,0.07294941675764319,0.014221591467715946,0.0046398187970908555,0.002465161026468765
conventional_current,Conventional,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9614453393907796,0.016389308013259465,0.9453531434692797,0.0350991122891424,0.8947043351085853,0.026323284784628816,0.8780032718487464,0.04148453051641936,0.07457452833154134,0.014698818868534639,0.0,0.0
