A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,aspect_deg,confidence,elevation_m,event_year,evi_median,hazard_type,inventory_id,label,lst_day_max_c,lst_day_mean_c,modis_lc_type1,ndvi_amplitude,ndvi_max,ndvi_median,negative_ratio,positive_buffer_m,rain_annual_total,rain_max_1day,rain_max_3day,rain_max_7day,rain_monsoon_total,seed,slope_deg,source,spatial_block_1deg,spatial_fold_5,use_role,longitude,latitude,dist_road_m,dist_river_m,dist_fault_m,lithology_code,profile_curvature,plan_curvature,tri,twi,valley_depth,relief,ls_factor,soil_type,eq_density_ms5,population_density,night_lights,dist_river_raster_m,log1p_dist_road_m,log1p_dist_river_m,log1p_dist_fault_m,gem_pga_475yr_rock_g,annual_eq_kernel_density_m4plus_per_1000km2,annual_mag_weighted_eq_density_m4plus_per_1000km2,distance_to_annual_eq_m4plus_km,distance_to_annual_eq_m5plus_km,annual_max_shakemap_pga_percent_g,annual_max_shakemap_mmi
0.1358861923217773,0.0591157265007495,-0.0297731645405292,0.1085121110081672,-0.0384467504918575,-0.1537870019674301,-0.0088581312447786,0.1358861923217773,-0.3188927471637726,-0.0935640111565589,0.2288965731859207,0.2599000334739685,-0.1793771684169769,-0.0325413309037685,0.0199307966977357,-0.0199307966977357,0.1727950721979141,0.1793771684169769,-0.0049826991744339,0.2288965731859207,-0.0138408308848738,-0.1663360297679901,-0.1085121110081672,-0.0753556340932846,-0.0177777782082557,-0.1034063845872879,-0.1034063845872879,-0.0103960018604993,0.1137408688664436,-0.0009842368308454,0.1537870019674301,0.2214532941579818,0.0448442921042442,-0.1137408688664436,-0.1301653236150741,0.1663360297679901,-0.1860822737216949,-0.0222068428993225,-0.0482276044785976,0.1476970463991165,0.0797231867909431,-0.0325413309037685,0.071111112833023,-0.0984236821532249,0.1417300999164581,-0.0138408308848738,-0.0629911571741104,0.2141330242156982,-0.1034063845872879,0.0753556340932846,-0.0222068428993225,0.0074432911351323,0.1301653236150741,-0.071111112833023,0.1476970463991165,0.2364629060029983,-0.071111112833023,-0.1085121110081672,-0.0199307966977357,-0.1301653236150741,0.0030142252799123,0.084213763475418,-0.1358861923217773,-0.0222068428993225,183,generated_negative,530.8773803710938,,0.0254999995231628,non_landslide,,0,53.84999847412109,41.96869659423828,16,0.0443999990820884,0.0760999992489814,0.0476000010967254,1.0,500.0,61.58488845825195,14.249744415283203,23.74957275390625,23.74957275390625,13.991835594177246,141300.0,0,GEE_stratified_negative_sampling,63_26,1,negative_train_candidate,63.45587073341117,26.23641864635537,24006.42266726048,1190.611757660277,14824.352006483574,1.0,1.5235384702682495,1.6477476358413696,5.779273509979248,6.465738773345947,79.110107421875,22.0,15.47374439239502,16.0,1.0,22.676498413085938,,2.0,10.086118339316082,7.083062087910519,9.604093967697604,0.3591191,0.0,0.0,135.01651000976562,473.5528869628906,0.0,0.0
0.1085121110081672,0.1301653236150741,-0.08882737159729,0.0448442921042442,-0.0482276044785976,-0.1085121110081672,-0.0199307966977357,0.1417300999164581,-0.2844444513320923,-0.0384467504918575,0.2141330242156982,0.1245674714446067,-0.1663360297679901,-0.0669896230101585,0.08882737159729,-0.0074432911351323,0.1860822737216949,0.2679584920406341,0.0246059205383062,0.1085121110081672,-0.0753556340932846,-0.2288965731859207,-0.1137408688664436,-0.084213763475418,-0.0354325249791145,-0.0297731645405292,-0.1793771684169769,-0.0297731645405292,0.1929104179143905,0.0415840074419975,0.084213763475418,0.1860822737216949,0.0553633235394954,-0.1137408688664436,-0.0629911571741104,0.0753556340932846,-0.0984236821532249,0.0120569011196494,-0.0591157265007495,-0.0088581312447786,0.2141330242156982,-0.1476970463991165,0.0157477892935276,-0.0246059205383062,0.2069357931613922,-0.119092658162117,-0.0271280277520418,0.1998615860939026,-0.084213763475418,0.0753556340932846,0.0103960018604993,-0.0384467504918575,0.1537870019674301,-0.0415840074419975,0.1998615860939026,0.2599000334739685,-0.1358861923217773,-0.1034063845872879,0.0354325249791145,-0.1998615860939026,-0.0199307966977357,-0.0246059205383062,-0.0935640111565589,0.0177777782082557,183,generated_negative,919.4014892578124,,0.0469999983906745,non_landslide,,0,55.77000045776367,42.50130462646485,16,0.0232999995350837,0.0935999974608421,0.0816000029444694,1.0,500.0,84.65020751953125,11.813742637634276,23.163787841796875,23.163787841796875,17.792686462402344,141300.0,0,GEE_stratified_negative_sampling,63_26,1,negative_train_candidate,63.044888766618215,26.609221789928725,62600.5296607364,34862.75240964407,4781.668457974609,1.0,2.0450186729431152,18.517019271850582,4.427188873291016,5.891570568084717,145.3663330078125,17.0,7.953594207763672,,1.0,22.676498413085938,,,11.04454499226467,10.459202955554208,8.472753924525659,0.35649272512117725,0.0,0.0,170.9292755126953,417.3395080566406,0.07999999821186066,2.2198634147644043
0.119092658162117,0.0591157265007495,-0.0138408308848738,0.0629911571741104,-0.0629911571741104,-0.1245674714446067,-0.0415840074419975,0.1417300999164581,-0.3278123736381531,0.0246059205383062,0.1929104179143905,0.1358861923217773,-0.1998615860939026,-0.0354325249791145,0.0629911571741104,0.0002460592077113,0.1537870019674301,0.2761399447917938,0.0935640111565589,0.1085121110081672,-0.0415840074419975,-0.1301653236150741,-0.2141330242156982,-0.08882737159729,-0.1034063845872879,-0.084213763475418,-0.2214532941579818,-0.0325413309037685,0.2288965731859207,0.0325413309037685,0.1085121110081672,0.0935640111565589,-0.0325413309037685,-0.1358861923217773,-0.08882737159729,0.0797231867909431,-0.0797231867909431,0.0015378700336441,-0.0629911571741104,0.0297731645405292,0.1793771684169769,-0.0669896230101585,0.0384467504918575,-0.0753556340932846,0.1476970463991165,-0.0935640111565589,-0.0384467504918575,0.2214532941579818,-0.1034063845872879,0.0222068428993225,0.0120569011196494,0.0199307966977357,0.1727950721979141,-0.1245674714446067,0.2214532941579818,0.2519646286964416,-0.0753556340932846,-0.0448442921042442,-0.0138408308848738,-0.1358861923217773,-0.0199307966977357,-0.0591157265007495,-0.1358861923217773,-0.0246059205383062,183,generated_negative,604.474853515625,,0.0359000004827976,non_landslide,,0,54.45000076293945,42.73695755004883,16,0.0313000008463859,0.0729999989271164,0.0562000013887882,1.0,500.0,54.24161148071289,15.003952026367188,15.003952026367188,15.003952026367188,11.241455078125,141300.0,0,GEE_stratified_negative_sampling,63_26,1,negative_train_candidate,63.72760835160816,26.263369453122408,22276.985901133092,24322.72932747955,17992.788431201156,1.0,1.9050228595733645,24.50797271728516,2.280350923538208,6.356630802154541,81.83154296875,8.0,3.1029059886932373,16.0,1.0,20.10614013671875,,,10.011354290544404,10.099207668381652,9.797781890166537,0.3509839,0.0,0.0,146.04957580566406,495.7414855957031,0.0,0.0
0.1417300999164581,-0.0482276044785976,0.1358861923217773,0.119092658162117,0.0199307966977357,-0.119092658162117,-0.0753556340932846,0.1034063845872879,-0.1793771684169769,0.1929104179143905,0.1663360297679901,0.0138408308848738,-0.2844444513320923,-0.1476970463991165,0.1599999964237213,0.0354325249791145,-0.0482276044785976,-0.0448442921042442,0.2761399447917938,-0.0591157265007495,-0.0157477892935276,-0.2214532941579818,-0.2679584920406341,-0.1599999964237213,-0.1998615860939026,-0.0935640111565589,0.0629911571741104,-0.051733948290348,0.0222068428993225,-0.0629911571741104,0.1085121110081672,0.0325413309037685,0.0797231867909431,-0.084213763475418,-0.2069357931613922,-0.0482276044785976,-0.1034063845872879,0.2441522479057312,0.0199307966977357,-0.119092658162117,0.2928719818592071,-0.0297731645405292,0.08882737159729,-0.1417300999164581,-0.071111112833023,0.0246059205383062,-0.0039369473233819,-0.1358861923217773,-0.0553633235394954,-0.0797231867909431,0.0088581312447786,0.0669896230101585,-0.0354325249791145,-0.0669896230101585,0.1417300999164581,-0.0553633235394954,0.0246059205383062,0.0591157265007495,0.0177777782082557,0.0384467504918575,-0.119092658162117,-0.0482276044785976,-0.1085121110081672,-0.1537870019674301,183,generated_negative,874.4195556640625,,0.0570000000298023,non_landslide,,0,54.88999938964844,41.87652206420898,16,0.0425999984145164,0.0797000005841255,0.0658000037074089,1.0,500.0,52.71977233886719,7.452928066253662,12.421546936035156,14.75485610961914,15.118979454040527,141300.0,0,GEE_stratified_negative_sampling,63_26,1,negative_train_candidate,63.875833329725744,26.76867478449889,14899.873829183189,14738.833786499888,3779.7195854328393,1.0,0.9145099520683287,79.85224151611328,0.7745966911315918,11.282670974731444,148.1407470703125,2.0,0.0002037932863458,16.0,1.0,15.182058334350586,,,9.609175136467831,9.598308889322889,8.237669637012852,0.3643767599086515,0.0,0.0,185.23805236816406,484.9818420410156,0.0,0.0
0.0984236821532249,0.051733948290348,-0.0384467504918575,0.1301653236150741,-0.0553633235394954,-0.0984236821532249,-0.0753556340932846,0.0354325249791145,-0.2599000334739685,0.0797231867909431,0.2599000334739685,0.1476970463991165,-0.2441522479057312,-0.0753556340932846,0.1358861923217773,0.0753556340932846,0.1301653236150741,0.2069357931613922,0.1860822737216949,0.0984236821532249,-0.0384467504918575,-0.0935640111565589,-0.1727950721979141,-0.08882737159729,-0.1929104179143905,-0.0753556340932846,-0.2214532941579818,-0.08882737159729,0.1998615860939026,-0.0138408308848738,0.0753556340932846,0.0448442921042442,0.0030142252799123,-0.2288965731859207,-0.084213763475418,0.1034063845872879,-0.084213763475418,0.0384467504918575,-0.0753556340932846,0.0177777782082557,0.2519646286964416,-0.084213763475418,0.0482276044785976,-0.0325413309037685,0.0935640111565589,-0.1301653236150741,0.0325413309037685,0.1358861923217773,-0.0271280277520418,0.051733948290348,0.0138408308848738,0.0222068428993225,0.1663360297679901,-0.0753556340932846,0.1860822737216949,0.2599000334739685,-0.0591157265007495,-0.0015378700336441,-0.0325413309037685,-0.1793771684169769,-0.0669896230101585,-0.0384467504918575,-0.0935640111565589,-0.0669896230101585,183,generated_negative,492.3585205078125,,0.0498000010848045,non_landslide,,0,56.150001525878906,43.71260833740234,16,0.0294000003486871,0.0903000012040138,0.0763000026345253,1.0,500.0,67.8255615234375,7.692330837249756,13.644454956054688,13.9785795211792,9.989078521728516,141300.0,0,GEE_stratified_negative_sampling,63_26,1,negative_train_candidate,63.30315544053276,26.24989404973889,26957.273901846434,3808.85357777671,15358.411543563603,1.0,0.992996633052826,43.05492782592773,0.6324555277824402,14.14895725250244,105.9189453125,2.0,0.0004030946001876,16.0,1.0,22.676498413085938,,4.0,10.202045538564368,8.24534603635252,9.639483695001868,0.3707633492998218,0.0,0.0,134.13177490234375,459.6472473144531,0.0653635635972023,2.0896010398864746
0.1085121110081672,0.051733948290348,-0.0120569011196494,0.0629911571741104,-0.0591157265007495,-0.1137408688664436,-0.0553633235394954,0.0448442921042442,-0.2844444513320923,0.0448442921042442,0.2364629060029983,0.1599999964237213,-0.2364629060029983,-0.0629911571741104,0.1137408688664436,0.0354325249791145,0.1301653236150741,0.2364629060029983,0.1663360297679901,0.0984236821532249,-0.0222068428993225,-0.084213763475418,-0.1998615860939026,-0.0935640111565589,-0.1860822737216949,-0.1085121110081672,-0.2599000334739685,-0.0629911571741104,0.1998615860939026,0.0120569011196494,0.0984236821532249,0.0415840074419975,-0.0669896230101585,-0.2069357931613922,-0.1137408688664436,0.1085121110081672,-0.119092658162117,0.0199307966977357,-0.0591157265007495,0.0553633235394954,0.2214532941579818,-0.0415840074419975,0.0415840074419975,-0.0482276044785976,0.0753556340932846,-0.1137408688664436,0.0088581312447786,0.1301653236150741,-0.071111112833023,0.0297731645405292,0.0120569011196494,0.0448442921042442,0.1793771684169769,-0.1137408688664436,0.1793771684169769,0.2364629060029983,-0.0797231867909431,0.0246059205383062,-0.0448442921042442,-0.1301653236150741,-0.0629911571741104,-0.0753556340932846,-0.1358861923217773,-0.0797231867909431,183,generated_negative,530.462158203125,,0.0390999987721443,non_landslide,,0,54.04999923706055,42.98826217651367,16,0.0329000018537044,0.0834000036120414,0.0627000033855438,1.0,500.0,56.40251159667969,12.506656646728516,12.506656646728516,12.506656646728516,12.237264633178713,141300.0,0,GEE_stratified_negative_sampling,63_26,1,negative_train_candidate,63.67371119717515,26.301548276342007,26964.948932684725,19886.056527794542,13182.68864233706,1.0,7.248756885528564,9.75981903076172,3.974921464920044,6.547482490539551,120.434814453125,17.0,8.692739486694336,16.0,1.0,15.182058334350586,,,10.202330198425436,9.897824373355029,9.486735635542791,0.35857060000000096,0.0,0.0,148.04647827148438,488.9678649902344,0.0,0.0
0.2069357931613922,-0.0753556340932846,0.1358861923217773,0.1998615860939026,0.0246059205383062,-0.1085121110081672,-0.0669896230101585,0.0935640111565589,-0.2364629060029983,0.1860822737216949,0.2599000334739685,0.0797231867909431,-0.2599000334739685,-0.071111112833023,0.1599999964237213,0.0797231867909431,-0.0199307966977357,-0.0553633235394954,0.2519646286964416,-0.0030142252799123,-0.0325413309037685,-0.119092658162117,-0.2364629060029983,-0.1998615860939026,-0.1929104179143905,-0.0074432911351323,0.0591157265007495,-0.08882737159729,0.0669896230101585,0.0049826991744339,0.0753556340932846,0.051733948290348,0.0246059205383062,-0.1663360297679901,-0.1998615860939026,0.0753556340932846,-0.084213763475418,0.1599999964237213,-0.0415840074419975,0.051733948290348,0.3014225363731384,0.0030142252799123,0.1417300999164581,-0.1998615860939026,-0.08882737159729,-0.0246059205383062,0.0177777782082557,-0.0120569011196494,-0.0325413309037685,-0.119092658162117,0.0061514801345765,0.0797231867909431,0.0482276044785976,-0.1358861923217773,0.0935640111565589,0.0482276044785976,0.0935640111565589,0.0325413309037685,-0.0325413309037685,-0.0448442921042442,-0.0088581312447786,0.0157477892935276,-0.08882737159729,-0.119092658162117,183,generated_negative,634.0340576171875,,0.0593000017106533,non_landslide,,0,57.630001068115234,45.64869689941406,16,0.0701000019907951,0.0837000012397766,0.0707999989390373,1.0,500.0,55.34194946289063,14.18739128112793,14.18739128112793,14.18739128112793,12.67572021484375,141300.0,0,GEE_stratified_negative_sampling,63_26,1,negative_train_candidate,63.87133855586387,26.19374950837496,13291.583467336492,18529.97045543753,10080.5438285357,1.0,0.3489217162132263,43.25286483764648,0.6324555277824402,14.299224853515623,141.248291015625,2.0,0.0009465420152992,16.0,3.0,20.10614013671875,,,9.494961524639312,9.827198690030944,9.21846168749076,0.4128126841287802,0.0,0.0,145.35275268554688,512.0908203125,0.0,0.0
0.1245674714446067,0.1358861923217773,0.0022145328111946,0.0271280277520418,-0.0629911571741104,-0.1537870019674301,0.0120569011196494,0.1417300999164581,-0.3368550539016723,-0.0354325249791145,0.1860822737216949,0.1599999964237213,-0.1793771684169769,-0.071111112833023,0.071111112833023,-0.0005536332027986,0.1476970463991165,0.2928719818592071,0.1085121110081672,0.1537870019674301,-0.0354325249791145,-0.1476970463991165,-0.1727950721979141,-0.0984236821532249,-0.0629911571741104,-0.0753556340932846,-0.1998615860939026,-0.0199307966977357,0.1727950721979141,0.0015378700336441,0.1476970463991165,0.1663360297679901,-0.0591157265007495,-0.119092658162117,-0.1137408688664436,0.084213763475418,-0.1727950721979141,-0.0246059205383062,-0.0325413309037685,0.0246059205383062,0.2288965731859207,-0.0753556340932846,-0.0009842368308454,-0.0591157265007495,0.1358861923217773,-0.084213763475418,-0.0246059205383062,0.1537870019674301,-0.1034063845872879,0.0222068428993225,-0.0199307966977357,0.0049826991744339,0.1417300999164581,-0.1034063845872879,0.1599999964237213,0.2364629060029983,-0.1085121110081672,-0.0325413309037685,0.0246059205383062,-0.1599999964237213,-0.051733948290348,-0.0591157265007495,-0.1137408688664436,-0.0271280277520418,183,generated_negative,586.6072998046875,,0.0474000014364719,non_landslide,,0,52.09000015258789,41.66086959838867,16,0.031700000166893,0.0916000008583068,0.0784000009298324,1.0,500.0,52.666934967041016,10.65372085571289,10.65372085571289,10.716014862060549,12.723504066467283,141300.0,0,GEE_stratified_negative_sampling,63_26,1,negative_train_candidate,63.71413294822464,26.050019304119232,2689.7536708387497,3671.151184821375,3312.067008433523,1.0,2.035184860229492,20.87606239318848,1.6124515533447266,7.010927200317383,63.80908203125,8.0,2.2464468479156494,16.0,2.0,20.10614013671875,,4.0,7.897576608387182,8.2085329232298,8.10562962800345,0.4281372,0.0,0.0,123.88465118408203,506.42230224609375,0.0,0.0
0.1085121110081672,0.071111112833023,0.0246059205383062,0.1034063845872879,-0.0753556340932846,-0.119092658162117,-0.0384467504918575,0.051733948290348,-0.3014225363731384,0.0669896230101585,0.1998615860939026,0.1085121110081672,-0.2599000334739685,-0.0553633235394954,0.1358861923217773,0.0629911571741104,0.1358861923217773,0.2519646286964416,0.1929104179143905,0.1358861923217773,-0.0074432911351323,-0.0753556340932846,-0.1727950721979141,-0.0797231867909431,-0.1599999964237213,-0.1034063845872879,-0.2214532941579818,-0.051733948290348,0.1358861923217773,-0.0246059205383062,0.119092658162117,0.0415840074419975,-0.0669896230101585,-0.2141330242156982,-0.1358861923217773,0.0797231867909431,-0.1137408688664436,0.0482276044785976,-0.0753556340932846,0.0629911571741104,0.2844444513320923,-0.0629911571741104,0.0088581312447786,-0.0246059205383062,0.0384467504918575,-0.071111112833023,0.0553633235394954,0.08882737159729,-0.0415840074419975,0.0448442921042442,-0.0120569011196494,0.0222068428993225,0.1663360297679901,-0.1301653236150741,0.1727950721979141,0.2441522479057312,-0.0669896230101585,0.0753556340932846,-0.051733948290348,-0.1417300999164581,-0.0629911571741104,-0.0984236821532249,-0.1085121110081672,-0.08882737159729,183,generated_negative,336.9534606933594,,0.0551999993622303,non_landslide,,0,54.38999938964844,42.4465217590332,16,0.0425999984145164,0.1067999973893165,0.0817999988794326,1.0,500.0,51.93912887573242,12.584388732910156,12.584388732910156,12.584388732910156,13.466756820678713,141300.0,0,GEE_stratified_negative_sampling,63_26,1,negative_train_candidate,63.5120152747751,26.05226669105017,3865.480521066368,20.36354190813777,2942.66412534225,1.0,2.630415916442871,10.39116096496582,2.2360680103302,8.888567924499512,172.844970703125,7.0,8.399060249328613,7.0,1.0,20.10614013671875,,2.0,8.260099946164,3.0616858200148034,7.9874103854809615,0.4140577521535591,0.0,0.0,116.61454010009766,489.036865234375,0.0,0.0
0.051733948290348,0.0797231867909431,-0.051733948290348,0.0984236821532249,-0.0039369473233819,-0.071111112833023,-0.1034063845872879,0.0984236821532249,-0.2141330242156982,0.1476970463991165,0.1929104179143905,-0.0049826991744339,-0.2679584920406341,-0.1537870019674301,0.1301653236150741,0.0591157265007495,0.071111112833023,0.2364629060029983,0.2519646286964416,0.0005536332027986,-0.0354325249791145,-0.1727950721979141,-0.2288965731859207,-0.084213763475418,-0.1663360297679901,-0.0553633235394954,-0.1417300999164581,0.0039369473233819,0.119092658162117,-0.08882737159729,0.1417300999164581,0.0553633235394954,0.0120569011196494,-0.1301653236150741,-0.0935640111565589,-0.0297731645405292,-0.0984236821532249,0.1137408688664436,-0.084213763475418,-0.0629911571741104,0.3553094863891601,-0.1476970463991165,0.0669896230101585,-0.0120569011196494,0.0629911571741104,-0.0629911571741104,0.051733948290348,-0.0061514801345765,-0.0984236821532249,-0.0009842368308454,-0.0325413309037685,-0.0120569011196494,0.1663360297679901,-0.0448442921042442,0.2141330242156982,0.1793771684169769,-0.0935640111565589,0.0384467504918575,0.0088581312447786,-0.119092658162117,-0.1476970463991165,-0.0448442921042442,-0.1085121110081672,-0.1034063845872879,183,generated_negative,859.9168090820312,,0.0410000011324882,non_landslide,,0,55.290000915527344,42.96434783935547,16,0.0215000007301569,0.0604000017046928,0.0535999983549118,1.0,500.0,48.78370666503906,10.17111587524414,10.17111587524414,13.128694534301758,12.507055282592772,141300.0,0,GEE_stratified_negative_sampling,63_26,1,negative_train_candidate,63.646760390408126,26.98875817609277,39171.05989622962,4667.499189369889,4020.920415380116,1.0,0.8091545104980469,21.71194267272949,0.6324555277824402,10.814132690429688,142.116455078125,1.0,1.2025877237319946,7.0,1.0,15.182058334350586,,6.0,10.57571901389674,8.448592926285729,8.29951478281214,0.33768310953088293,0.0,0.0,201.85325622558594,454.8581848144531,0.0,0.0
