feature_set,fpr,tpr,threshold
Conventional + AlphaEarth Embeddings,0.0,0.0,inf
Conventional + AlphaEarth Embeddings,0.0,0.000663129973474801,0.9960860480150868
Conventional + AlphaEarth Embeddings,0.0,0.008620689655172414,0.9951500850602916
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.008620689655172414,0.9951435171777532
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.019230769230769232,0.994635199545573
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.020557029177718834,0.9946237045798876
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.029840848806366047,0.9944371235371774
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.03116710875331565,0.9944309154417964
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.05305039787798409,0.9940787835985953
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.054376657824933686,0.9940782158254796
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.07758620689655173,0.993672740575731
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.07891246684350132,0.9936610969090298
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.08554376657824933,0.9935998729309218
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.08687002652519894,0.9935950924558696
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.08753315649867374,0.9935948211687468
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.08885941644562334,0.9935929927519308
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.09549071618037135,0.9934583461248568
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.09681697612732096,0.9934550506748026
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.10543766578249338,0.9933325684752942
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.10676392572944297,0.9932988419642927
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.11870026525198939,0.9931587890179508
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.12002652519893899,0.9931507271377532
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.1206896551724138,0.9931374163048978
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.1220159151193634,0.993117307456238
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.12798408488063662,0.9929188450903292
Conventional + AlphaEarth Embeddings,0.0005530973451327434,0.12931034482758622,0.9929173088251924
