feature_set,model,roc_auc,pr_auc_ap,balanced_accuracy,f1,brier,n
Conventional + AlphaEarth Embeddings,Spatial-CV Stacked Ensemble,0.9688948762939836,0.9612028365429431,0.9219384521490106,0.9148514851485149,0.060977079983270635,3316
Conventional,Spatial-CV Stacked Ensemble,0.9607300884955752,0.9544046106204696,0.9040251402549235,0.8954635108481263,0.07398990571000368,3316
AlphaEarth Embeddings,Spatial-CV Stacked Ensemble,0.9509855989296025,0.9409812544197967,0.8899820426750547,0.8803670927564733,0.08331766746597816,3316
