domain,balanced_accuracy_alphaearth_embeddings,balanced_accuracy_conventional,balanced_accuracy_conventional_and_alphaearth_embeddings,brier_alphaearth_embeddings,brier_conventional,brier_conventional_and_alphaearth_embeddings,f1_alphaearth_embeddings,f1_conventional,f1_conventional_and_alphaearth_embeddings,pr_auc_ap_alphaearth_embeddings,pr_auc_ap_conventional,pr_auc_ap_conventional_and_alphaearth_embeddings,roc_auc_alphaearth_embeddings,roc_auc_conventional,roc_auc_conventional_and_alphaearth_embeddings,fused_aoa_coverage_percent,fused_mean_transfer_confidence,area_km2,mean_fused_probability,mean_fused_transfer_confidence,mean_reliability_aware_score,reliable_high_area_km2,reliable_high_area_percent,reliable_very_high_area_km2,uncertain_high_area_km2,uncertain_high_area_percent,outside_fused_aoa_area_km2,outside_fused_aoa_percent,kkh_proxy_length_km,kkh_reliable_high_weighted_length_km,kkh_uncertain_high_weighted_length_km,kkh_mean_fused_probability
Balochistan,0.7528092632401797,0.8100205198358412,0.8121702169239788,0.1763282402197786,0.1360613720439219,0.1210690947371559,0.7743732590529248,0.8130563798219584,0.8346883468834688,0.8222638043086319,0.9104995549000908,0.9194160589557308,0.8343226825613966,0.8969692528174061,0.9134950491824636,98.85018035094728,0.3980859518051147,345152.2462107119,0.2053331136703491,0.3980859518051147,0.0574986226856708,1130.1276085551783,0.3274287277462036,21986.97309997763,98490.71112785208,28.535439710777524,3935.929668710931,1.1403459522346804,,,,
Gilgit-Baltistan,0.9049291847886696,0.9212668674026988,0.943319950931192,0.067656305588282,0.0730914881240825,0.0422704723261507,0.9260969976905312,0.927360774818402,0.9559164733178654,0.9720257207306464,0.9809971813498458,0.9843110344524072,0.9678503719989168,0.9712676639742548,0.9792094823878028,97.7520792431963,0.3281855881214142,68129.42107345471,0.1842543929815292,0.3281855881214142,0.036931823939085,430.2785173167107,0.6315605072481091,1022.1742250567166,14670.596771291746,21.53342350505875,1535.0767500629363,2.2531774465071,388.5019817473798,0.0,388.5019817473798,0.985434918638756
KP-AJK,0.917599583441812,0.8869272324915387,0.9317397813069512,0.0662888378776394,0.0728428230539695,0.0573469174025872,0.913946587537092,0.8870523415977961,0.9285714285714286,0.9533587229590468,0.9656050000417284,0.9728344928887266,0.9654712314501432,0.9696042697214268,0.9764058838844052,90.66518491443642,0.2417814433574676,115200.63392518724,0.1942689269781112,0.2417814433574676,0.0258032921701669,110.26434563591349,0.0957150511059865,492.693700236415,35476.15599765091,30.79510484351117,10763.635355335464,9.3433820531973,324.31769941047776,0.90909090909091,317.8631539559323,0.8102310716135795
"Kashgar (Xinjiang, China)",0.8581356664634254,0.918143125218287,0.9071710600311372,0.0947931819104671,0.0623689849154015,0.0648314516799993,0.8259493670886076,0.8931750741839762,0.88,0.9072484870949172,0.963158749139183,0.9567024024277612,0.9334098940975204,0.9718284012810116,0.965204316606385,98.87074252363522,0.3728346824645996,182260.7464006562,0.0841771587729454,0.3728346824645996,0.019513638690114,168.6652711453582,0.0925406454632794,936.6096360432408,19123.849609157536,10.492577248157634,2056.1765091254138,1.1281510416979237,715.4032008400559,2.8181818181818232,654.675928112783,0.6028046027363577
Punjab-Sindh lowland corridor,0.9119234642497482,0.9380664652567976,0.9543202416918428,0.0553723990641517,0.0554034754091409,0.0334068302913108,0.8121212121212121,0.7853403141361257,0.8780487804878049,0.8885396846796143,0.9495865272180524,0.9544209830587675,0.9653575025176234,0.9899295065458208,0.9902920443101711,98.20635064936488,0.4519637823104858,347990.65736210503,0.055600855499506,0.4519637823104858,0.0173190906643867,171.96369491749357,0.049416181520803,3213.619095652809,18249.2217480428,5.244170026396252,6202.991139843436,1.7825165729632948,20.000000000000007,0.0,19.090909090909097,0.3457736670970917
