base_model,base_model_name,meta_coefficient_mean,meta_coefficient_std,meta_coefficient_min,meta_coefficient_max
extra_trees,Extra Trees,1.2638653489130331,0.09696272326907869,1.1917676376141888,1.4014020826171656
xgboost,XGBoost,0.8269439413677894,0.27847891902358857,0.4093746047101483,1.1353067278555855
catboost,CatBoost,0.5531865144556474,0.2777404117249927,0.2616137637715361,1.0117476717542748
logistic_l2,Logistic Regression (L2),0.4050069117568099,0.2068810885899876,0.1843938531822193,0.7406314933486191
random_forest,Random Forest,0.2913413186133014,0.3296802939789295,-0.1390827534584527,0.7647940521845756
lightgbm,LightGBM,0.11044197158951427,0.2504013883385125,-0.2154103913009143,0.445891976447349
