held_out_domain,n,positives,controls,positive_share
Northern high mountains,1896,907,989,0.47837552742616035
Western arid region,659,337,322,0.511380880121396
Indus lowland,353,88,265,0.24929178470254956
Southern coastal region,219,99,120,0.4520547945205479
Transitional foothills and plateaus,189,77,112,0.4074074074074074
