feature_set,model,curve,x,y,threshold
conventional_reduced,stacked_l2_logistic,roc,0.0,0.0,inf
conventional_reduced,stacked_l2_logistic,roc,0.0,0.000663129973474801,0.9888472160449631
conventional_reduced,stacked_l2_logistic,roc,0.0,0.002652519893899204,0.987614019913433
conventional_reduced,stacked_l2_logistic,roc,0.0,0.003978779840848806,0.9870829370285479
conventional_reduced,stacked_l2_logistic,roc,0.0,0.008620689655172414,0.9856977152598073
conventional_reduced,stacked_l2_logistic,roc,0.0005530973451327434,0.008620689655172414,0.9855287842083988
conventional_reduced,stacked_l2_logistic,roc,0.0005530973451327434,0.027188328912466843,0.9802403820007257
conventional_reduced,stacked_l2_logistic,roc,0.0005530973451327434,0.028514588859416445,0.979947921969281
conventional_reduced,stacked_l2_logistic,roc,0.0005530973451327434,0.029177718832891247,0.97992576597592
conventional_reduced,stacked_l2_logistic,roc,0.0005530973451327434,0.03050397877984085,0.9796258418995267
conventional_reduced,stacked_l2_logistic,roc,0.0005530973451327434,0.03978779840848806,0.9765742630574769
conventional_reduced,stacked_l2_logistic,roc,0.0005530973451327434,0.04111405835543767,0.975963965274399
conventional_reduced,stacked_l2_logistic,roc,0.0005530973451327434,0.04177718832891247,0.9758299281286231
conventional_reduced,stacked_l2_logistic,roc,0.0011061946902654867,0.04177718832891247,0.9750167709734942
conventional_reduced,stacked_l2_logistic,roc,0.0011061946902654867,0.04840848806366048,0.9701909652561136
conventional_reduced,stacked_l2_logistic,roc,0.00165929203539823,0.04840848806366048,0.9698432945030042
conventional_reduced,stacked_l2_logistic,roc,0.00165929203539823,0.05106100795755968,0.9694197695709471
conventional_reduced,stacked_l2_logistic,roc,0.0027654867256637168,0.05106100795755968,0.9688117839842365
conventional_reduced,stacked_l2_logistic,roc,0.0027654867256637168,0.05238726790450928,0.9681745993620596
conventional_reduced,stacked_l2_logistic,roc,0.00331858407079646,0.05238726790450928,0.9680986004216257
conventional_reduced,stacked_l2_logistic,roc,0.00331858407079646,0.05636604774535809,0.9669020664300213
conventional_reduced,stacked_l2_logistic,roc,0.00331858407079646,0.057692307692307696,0.966262565565786
conventional_reduced,stacked_l2_logistic,roc,0.00331858407079646,0.06697612732095491,0.9632142875464205
conventional_reduced,stacked_l2_logistic,roc,0.00331858407079646,0.06830238726790451,0.9627714790215965
conventional_reduced,stacked_l2_logistic,roc,0.00331858407079646,0.06962864721485411,0.9626042360610282
conventional_reduced,stacked_l2_logistic,roc,0.0038716814159292035,0.06962864721485411,0.9610965496133772
conventional_reduced,stacked_l2_logistic,roc,0.0038716814159292035,0.07161803713527852,0.9604482411142468
conventional_reduced,stacked_l2_logistic,roc,0.004424778761061947,0.07161803713527852,0.9597140289922649
conventional_reduced,stacked_l2_logistic,roc,0.004424778761061947,0.07294429708222812,0.958875798793918
conventional_reduced,stacked_l2_logistic,roc,0.00497787610619469,0.07294429708222812,0.9588258622445701
