feature_set,held_out_domain,model,n_train,n_test,train_positive,test_positive,test_negative,roc_auc,pr_auc_ap,balanced_accuracy,f1,precision,recall,brier,threshold,mean_abs_standardized_mean_difference,mean_js_divergence
Conventional,"Kashgar (Xinjiang, China)",Spatial-CV Stacked Ensemble,2470,846,1185,323,523,0.9718284012810116,0.963158749139183,0.918143125218287,0.8931750741839762,0.8575498575498576,0.9318885448916407,0.0623689849154015,0.3999999999999999,0.3786144123589801,0.0952848632522849
AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",Spatial-CV Stacked Ensemble,2470,846,1185,323,523,0.9334098940975204,0.9072484870949172,0.8581356664634254,0.8259493670886076,0.8446601941747572,0.8080495356037152,0.0947931819104671,0.4699999999999999,0.5411672438713735,0.0759486938025239
Conventional + AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",Spatial-CV Stacked Ensemble,2470,846,1185,323,523,0.965204316606385,0.9567024024277612,0.9071710600311372,0.88,0.84375,0.9195046439628484,0.0648314516799993,0.4049999999999999,0.5039563547299822,0.0803750458452403
