feature,feature_name,mean_abs_shap,mean_shap,std_abs_shap,feature_set,feature_set_name
A59,AlphaEarth A59,0.029034737,-0.0014515193,0.024484534,fused_reduced,Conventional + AlphaEarth Embeddings
A41,AlphaEarth A41,0.02712858,1.4829983e-05,0.049294487,fused_reduced,Conventional + AlphaEarth Embeddings
A53,AlphaEarth A53,0.027030498,-0.0033387903,0.04210966,fused_reduced,Conventional + AlphaEarth Embeddings
A43,AlphaEarth A43,0.025855638,-0.004607819,0.023764119,fused_reduced,Conventional + AlphaEarth Embeddings
A33,AlphaEarth A33,0.02547433,0.0025851168,0.017868271,fused_reduced,Conventional + AlphaEarth Embeddings
A57,AlphaEarth A57,0.02513697,-0.0017785884,0.015531989,fused_reduced,Conventional + AlphaEarth Embeddings
A35,AlphaEarth A35,0.02477612,0.0034202568,0.012726955,fused_reduced,Conventional + AlphaEarth Embeddings
A07,AlphaEarth A07,0.02376506,-0.0020705545,0.02166075,fused_reduced,Conventional + AlphaEarth Embeddings
A11,AlphaEarth A11,0.023729175,-0.0029503372,0.044047255,fused_reduced,Conventional + AlphaEarth Embeddings
A28,AlphaEarth A28,0.022798087,-0.0033039618,0.014714088,fused_reduced,Conventional + AlphaEarth Embeddings
A23,AlphaEarth A23,0.022322375,0.0015325769,0.018098861,fused_reduced,Conventional + AlphaEarth Embeddings
A29,AlphaEarth A29,0.022189355,-0.001983642,0.021696225,fused_reduced,Conventional + AlphaEarth Embeddings
A10,AlphaEarth A10,0.019635525,-0.0028391827,0.013958043,fused_reduced,Conventional + AlphaEarth Embeddings
A62,AlphaEarth A62,0.018105708,0.00072600745,0.01925332,fused_reduced,Conventional + AlphaEarth Embeddings
A40,AlphaEarth A40,0.017771523,-0.0035036725,0.014922446,fused_reduced,Conventional + AlphaEarth Embeddings
A31,AlphaEarth A31,0.016264439,-0.0026984108,0.012916771,fused_reduced,Conventional + AlphaEarth Embeddings
A04,AlphaEarth A04,0.016251683,-0.0012595875,0.020480294,fused_reduced,Conventional + AlphaEarth Embeddings
slope_deg,Slope,0.014555379,0.0043303473,0.010900205,fused_reduced,Conventional + AlphaEarth Embeddings
A63,AlphaEarth A63,0.011895502,-0.0033614205,0.009906712,fused_reduced,Conventional + AlphaEarth Embeddings
