segment_id,fused_probability,fused_transfer_confidence,reliability_weighted_probability,final_reliability_aware_score,field_verification_priority,reliable_high_mask,reliable_very_high_mask,uncertain_high_mask,fused_aoa_mask,model_disagreement_std
1,0.48935196,0.0,0.0,0.0,0.6194578,0.0,0.0,1.0,0.0,0.17523566
1,0.14394125,0.0,0.0,0.0,0.31982446,0.0,0.0,1.0,0.0,0.23689184
1,0.22468331,0.0,0.0,0.0,0.29034394,0.0,0.0,1.0,0.0,0.08843631
1,0.5750777,0.002613008,0.0015026827,0.0012402831,0.6346923,0.0,0.0,1.0,1.0,0.082317024
1,0.3209115,0.0,0.0,0.0,0.39338878,0.0,0.0,1.0,0.0,0.09761748
1,0.46154603,0.0,0.0,0.0,0.49705356,0.0,0.0,1.0,0.0,0.047824014
1,0.16814238,0.0,0.0,0.0,0.21843114,0.0,0.0,1.0,0.0,0.067732446
1,0.22024098,0.0,0.0,0.0,0.25111753,0.0,0.0,1.0,0.0,0.041586705
1,0.17510681,0.0,0.0,0.0,0.238676,0.0,0.0,1.0,0.0,0.085619435
1,0.34935588,0.0,0.0,0.0,0.4517458,0.0,0.0,1.0,0.0,0.13790594
2,0.76372916,0.0,0.0,0.0,0.77841884,0.0,0.0,1.0,0.0,0.01978508
2,0.7715043,0.0,0.0,0.0,0.8738655,0.0,0.0,1.0,0.0,0.13786721
2,0.79442304,0.0,0.0,0.0,0.9650925,0.0,0.0,1.0,0.0,0.22986954
2,0.5278321,0.0,0.0,0.0,0.573032,0.0,0.0,1.0,0.0,0.060878426
2,0.5278321,0.0,0.0,0.0,0.573032,0.0,0.0,1.0,0.0,0.060878426
2,0.8377054,0.0,0.0,0.0,0.88244545,0.0,0.0,1.0,0.0,0.060259096
2,0.26816934,0.0,0.0,0.0,0.51167715,0.0,0.0,1.0,0.0,0.32797337
2,0.59161943,0.0,0.0,0.0,0.7769164,0.0,0.0,1.0,0.0,0.2495709
2,0.81461036,0.0,0.0,0.0,0.9312184,0.0,0.0,1.0,0.0,0.15705584
3,0.628677,0.0,0.0,0.0,0.7325187,0.0,0.0,1.0,0.0,0.13986124
3,0.7739173,0.0,0.0,0.0,0.9023746,0.0,0.0,1.0,0.0,0.1730153
3,0.1798939,0.0,0.0,0.0,0.27371514,0.0,0.0,1.0,0.0,0.12636502
3,0.65104896,0.0,0.0,0.0,0.7349341,0.0,0.0,1.0,0.0,0.11298233
3,0.5634757,0.002049625,0.0011549139,0.0009392207,0.6276873,0.0,0.0,1.0,1.0,0.08804011
3,0.48954478,0.0,0.0,0.0,0.6166724,0.0,0.0,1.0,0.0,0.17122442
3,0.24976721,0.0,0.0,0.0,0.366243,0.0,0.0,1.0,0.0,0.15687777
3,0.133494,0.0,0.0,0.0,0.1907731,0.0,0.0,1.0,0.0,0.0771475
3,0.62030804,0.0,0.0,0.0,0.66402966,0.0,0.0,1.0,0.0,0.058887314
3,0.610517,0.0,0.0,0.0,0.69934326,0.0,0.0,1.0,0.0,0.11963742
4,0.3078,0.0,0.0,0.0,0.37224752,0.0,0.0,1.0,0.0,0.086802445
4,0.13049774,0.0,0.0,0.0,0.24590975,0.0,0.0,1.0,0.0,0.15544498
4,0.13732272,0.0,0.0,0.0,0.22604036,0.0,0.0,1.0,0.0,0.119491145
4,0.1078167,0.0,0.0,0.0,0.1078167,0.0,0.0,0.0,0.0,0.10450596
4,0.1257733,0.0,0.0,0.0,0.1257733,0.0,0.0,0.0,0.0,0.08451749
4,0.14184007,0.0,0.0,0.0,0.2501533,0.0,0.0,1.0,0.0,0.14588387
4,0.117556326,0.0,0.0,0.0,0.117556326,0.0,0.0,0.0,0.0,0.17227323
4,0.10301398,0.0,0.0,0.0,0.10301398,0.0,0.0,0.0,0.0,0.08517505
4,0.1161328,0.0,0.0,0.0,0.1161328,0.0,0.0,0.0,0.0,0.09139153
4,0.11410046,0.0,0.0,0.0,0.11410046,0.0,0.0,0.0,0.0,0.27353904
5,0.10653459,0.0,0.0,0.0,0.10653459,0.0,0.0,0.0,0.0,0.11221536
5,0.094943285,0.0,0.0,0.0,0.094943285,0.0,0.0,0.0,0.0,0.14280918
5,0.08753887,0.0,0.0,0.0,0.08753887,0.0,0.0,0.0,0.0,0.08773608
5,0.10502542,0.0,0.0,0.0,0.10502542,0.0,0.0,0.0,0.0,0.3194273
5,0.12132871,0.0,0.0,0.0,0.12132871,0.0,0.0,0.0,0.0,0.3167665
5,0.074527636,0.0,0.0,0.0,0.074527636,0.0,0.0,0.0,0.0,0.10323066
5,0.108428374,0.0,0.0,0.0,0.108428374,0.0,0.0,0.0,0.0,0.1368239
5,0.085819386,0.0,0.0,0.0,0.085819386,0.0,0.0,0.0,0.0,0.12481612
5,0.07834388,0.0,0.0,0.0,0.07834388,0.0,0.0,0.0,0.0,0.0613916
5,0.10561961,0.0,0.0,0.0,0.10561961,0.0,0.0,0.0,0.0,0.15601137
5,0.15150824,0.039840937,0.0060362304,0.003804731,0.2748615,0.0,0.0,1.0,1.0,0.17427084
6,0.15150824,0.039840937,0.0060362304,0.003804731,0.2748615,0.0,0.0,1.0,1.0,0.17427084
6,0.16032365,0.0,0.0,0.0,0.31091082,0.0,0.0,1.0,0.0,0.20282137
6,0.10370069,0.0,0.0,0.0,0.10370069,0.0,0.0,0.0,0.0,0.095589064
6,0.2570474,0.009404123,0.0024173055,0.0020006783,0.31495327,0.0,0.0,1.0,1.0,0.08124746
6,0.20670651,0.056479633,0.011674708,0.009201429,0.26917908,0.0,0.0,1.0,1.0,0.09986673
6,0.7022031,0.24275815,0.17046553,0.061244093,0.7559911,0.0,0.0,1.0,1.0,0.30204043
6,0.44309005,0.049959123,0.02213639,0.015044696,0.53308094,0.0,0.0,1.0,1.0,0.15102088
6,0.3413995,0.11035907,0.03767653,0.03038027,0.3715023,0.0,0.0,1.0,1.0,0.091290005
7,0.24695271,0.0,0.0,0.0,0.4793259,0.0,0.0,1.0,0.0,0.31297648
7,0.19171971,0.0,0.0,0.0,0.2897316,0.0,0.0,1.0,0.0,0.13200928
7,0.20686707,0.0,0.0,0.0,0.49441215,0.0,0.0,1.0,0.0,0.3872859
7,0.1881873,0.0,0.0,0.0,0.4787176,0.0,0.0,1.0,0.0,0.39130658
7,0.18412203,0.0,0.0,0.0,0.4061218,0.0,0.0,1.0,0.0,0.29900485
7,0.11491451,0.0,0.0,0.0,0.11491451,0.0,0.0,0.0,0.0,0.28647596
7,0.17874089,0.0,0.0,0.0,0.46050993,0.0,0.0,1.0,0.0,0.3795063
7,0.49436393,0.02646941,0.013085522,0.006849492,0.64807427,0.0,0.0,1.0,1.0,0.2246523
7,0.10895756,0.0,0.0,0.0,0.10895756,0.0,0.0,0.0,0.0,0.33008698
7,0.2604599,0.0,0.0,0.0,0.5430846,0.0,0.0,1.0,0.0,0.38065875
8,0.9766897,0.0,0.0,0.0,0.99401927,0.0,0.0,1.0,0.0,0.023340657
8,0.6761372,0.0,0.0,0.0,0.93086684,0.0,0.0,1.0,0.0,0.3430877
8,0.21131772,0.0,0.0,0.0,0.474678,0.0,0.0,1.0,0.0,0.3547121
8,0.1794742,0.0,0.0,0.0,0.46011108,0.0,0.0,1.0,0.0,0.3779814
8,0.15675157,0.0,0.0,0.0,0.44027048,0.0,0.0,1.0,0.0,0.38186315
8,0.24348702,0.0,0.0,0.0,0.49576998,0.0,0.0,1.0,0.0,0.3397924
8,0.28969353,0.0,0.0,0.0,0.42148298,0.0,0.0,1.0,0.0,0.17750326
8,0.10496969,0.0,0.0,0.0,0.10496969,0.0,0.0,0.0,0.0,0.14122474
8,0.23219512,0.0,0.0,0.0,0.26393345,0.0,0.0,1.0,0.0,0.0427474
8,0.37647474,0.0,0.0,0.0,0.5210372,0.0,0.0,1.0,0.0,0.19470684
9,0.96151054,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0853885
9,0.35563812,0.0,0.0,0.0,0.46226296,0.0,0.0,1.0,0.0,0.14360979
9,0.15994498,0.0,0.0,0.0,0.2831305,0.0,0.0,1.0,0.0,0.1659149
9,0.651207,0.0,0.0,0.0,0.8697554,0.0,0.0,1.0,0.0,0.29435638
9,0.12987038,0.0,0.0,0.0,0.26848772,0.0,0.0,1.0,0.0,0.18669955
9,0.11538587,0.0,0.0,0.0,0.11538587,0.0,0.0,0.0,0.0,0.119068205
9,0.103296585,0.0,0.0,0.0,0.103296585,0.0,0.0,0.0,0.0,0.09628039
9,0.10611126,0.0,0.0,0.0,0.10611126,0.0,0.0,0.0,0.0,0.11785206
9,0.10961013,0.0,0.0,0.0,0.10961013,0.0,0.0,0.0,0.0,0.124710076
9,0.1289149,0.0,0.0,0.0,0.2664203,0.0,0.0,1.0,0.0,0.18520191
9,0.1281967,0.0,0.0,0.0,0.20909554,0.0,0.0,1.0,0.0,0.108960226
10,0.1281967,0.0,0.0,0.0,0.20909554,0.0,0.0,1.0,0.0,0.108960226
10,0.15210208,0.0,0.0,0.0,0.28755498,0.0,0.0,1.0,0.0,0.18243746
10,0.47201136,0.0,0.0,0.0,0.6854124,0.0,0.0,1.0,0.0,0.28742346
10,0.39349654,0.0,0.0,0.0,0.5829482,0.0,0.0,1.0,0.0,0.25516677
10,0.1110865,0.0,0.0,0.0,0.1110865,0.0,0.0,0.0,0.0,0.08326025
10,0.11867195,0.0,0.0,0.0,0.11867195,0.0,0.0,0.0,0.0,0.1172125
10,0.18668276,0.062603,0.011686901,0.007918283,0.28785864,0.0,0.0,1.0,1.0,0.15201148
10,0.11246713,0.0,0.0,0.0,0.11246713,0.0,0.0,0.0,0.0,0.09694966
10,0.2710278,0.030431151,0.008247688,0.0060973275,0.35403314,0.0,0.0,1.0,1.0,0.122905955
10,0.26321566,0.07653743,0.02014585,0.0075182943,0.46245217,0.0,0.0,1.0,1.0,0.29547957
10,0.14205936,0.04278624,0.006078186,0.0047788853,0.21079877,0.0,0.0,1.0,1.0,0.10076959
10,0.15208836,0.023225129,0.0035322716,0.0029401986,0.20722243,0.0,0.0,1.0,1.0,0.079015955
11,0.5428505,0.0,0.0,0.0,0.6726869,0.0,0.0,1.0,0.0,0.17487274
11,0.41114086,0.03860259,0.015871102,0.012552494,0.46845388,0.0,0.0,1.0,1.0,0.0985695
11,0.2713813,0.0,0.0,0.0,0.3416585,0.0,0.0,1.0,0.0,0.094654284
11,0.20747527,0.0,0.0,0.0,0.38677934,0.0,0.0,1.0,0.0,0.24149929
11,0.14439426,0.0,0.0,0.0,0.2095555,0.0,0.0,1.0,0.0,0.087763734
11,0.4663129,0.0,0.0,0.0,0.53121233,0.0,0.0,1.0,0.0,0.08741108
11,0.23652816,0.0,0.0,0.0,0.26355925,0.0,0.0,1.0,0.0,0.036407355
11,0.13781501,0.0,0.0,0.0,0.18861201,0.0,0.0,1.0,0.0,0.06841695
11,0.34766647,0.0,0.0,0.0,0.5870943,0.0,0.0,1.0,0.0,0.32247818
11,0.15622689,0.0,0.0,0.0,0.25897068,0.0,0.0,1.0,0.0,0.13838252
11,0.44683462,0.019177973,0.008569382,0.0070873653,0.49879536,0.0,0.0,1.0,1.0,0.08152622
12,0.44683462,0.019177973,0.008569382,0.0070873653,0.49879536,0.0,0.0,1.0,1.0,0.08152622
12,0.15400703,0.0,0.0,0.0,0.389345,0.0,0.0,1.0,0.0,0.31696966
12,0.12502237,0.0,0.0,0.0,0.12502237,0.0,0.0,0.0,0.0,0.117079206
12,0.30451578,0.0,0.0,0.0,0.4382009,0.0,0.0,1.0,0.0,0.18005647
12,0.34833634,0.0,0.0,0.0,0.49682748,0.0,0.0,1.0,0.0,0.19999826
12,0.41889322,0.0,0.0,0.0,0.4635711,0.0,0.0,1.0,0.0,0.060175292
12,0.1668225,0.0,0.0,0.0,0.26005104,0.0,0.0,1.0,0.0,0.12556674
12,0.33013073,0.0037654042,0.0012430756,0.0010143825,0.39327842,0.0,0.0,1.0,1.0,0.086725995
12,0.16696784,0.018122077,0.003025804,0.0022022827,0.25920016,0.0,0.0,1.0,1.0,0.12830032
12,0.34218222,0.052533507,0.017976033,0.009540303,0.48845294,0.0,0.0,1.0,1.0,0.22121906
12,0.20061466,0.0,0.0,0.0,0.36888668,0.0,0.0,1.0,0.0,0.22664055
13,0.20061466,0.0,0.0,0.0,0.36888668,0.0,0.0,1.0,0.0,0.22664055
13,0.669797,0.03890258,0.026056832,0.012877502,0.8207673,0.0,0.0,1.0,1.0,0.23843251
13,0.1143305,0.0,0.0,0.0,0.1143305,0.0,0.0,0.0,0.0,0.17721154
13,0.34222642,0.0,0.0,0.0,0.4203254,0.0,0.0,1.0,0.0,0.10518919
13,0.1590351,0.0,0.0,0.0,0.21010089,0.0,0.0,1.0,0.0,0.06877897
