name,count,min,p05,p20,p50,p80,p90,p95,max,mean,std,nonfinite_inside_mask
Conventional stacked probability,19996413,0.015894819051027298,0.018235990777611732,0.023090846836566925,0.04587339982390404,0.2166624218225479,0.5522584915161133,0.8122333288192749,0.9987415671348572,0.1584312915802002,0.2416680008172989,0
AlphaEarth Embeddings stacked probability,19996413,0.03193853795528412,0.035647839307785034,0.03686990588903427,0.048171207308769226,0.2324838638305664,0.6410155296325684,0.8713725209236145,0.9819619059562683,0.17348870635032654,0.25545623898506165,0
Conventional + AlphaEarth Embeddings stacked probability,19996413,0.020377222448587418,0.020984124392271042,0.022522401064634323,0.031292032450437546,0.12633591890335083,0.4417957067489624,0.8408559560775757,0.9950510263442993,0.1321677714586258,0.23689943552017212,0
Mean probability,19996413,0.023929737508296967,0.025303037837147713,0.028536677360534668,0.0464329831302166,0.21837928891181946,0.5044630169868469,0.7625372409820557,0.9914494156837463,0.15469591319561005,0.22819864749908447,0
Model disagreement std,19996413,2.1966738131595775e-05,0.005820785649120808,0.007307704538106918,0.01357282418757677,0.08291324228048325,0.16148702800273895,0.22823573648929596,0.4407864212989807,0.05080308020114899,0.07458900660276413,0
Model disagreement range,19996413,4.9386173486709595e-05,0.013520654290914536,0.01648809388279915,0.031784117221832275,0.1885928064584732,0.3682814836502075,0.5208361744880676,0.9603312611579895,0.11623925715684891,0.1706886738538742,0
Fused reliability score,19996413,0.0026925334241241217,0.020589236170053482,0.021994225680828094,0.02957344800233841,0.09041263908147812,0.2566004693508148,0.5819840431213379,0.9828988909721375,0.10114085674285889,0.18679605424404144,0
Fused minus Conventional,19996413,-0.9253685474395752,-0.26558199524879456,-0.053887989372015,-0.0038259122520685196,0.004954200237989426,0.033947866410017014,0.12278026342391968,0.9246792793273926,-0.026263535022735596,0.13316379487514496,0
AlphaEarth minus Conventional,19996413,-0.9603312611579895,-0.28695374727249146,-0.03200478479266167,0.01417572796344757,0.04552506282925606,0.1858249455690384,0.3730211853981018,0.9475643038749695,0.015057398937642574,0.1950872391462326,0
