feature_set,feature_set_name,n,n_positive,n_negative,roc_auc,pr_auc,balanced_accuracy,f1,precision,sensitivity,specificity,brier,log_loss,ece_10bin,threshold
conventional,Conventional,3316,1508,1808,0.9574764236755006,0.9483822159795889,0.9030172413793103,0.8948374760994264,0.8613496932515338,0.9310344827586207,0.875,0.07807204772157736,0.2726629590565345,0.042360484542530503,0.37766984879529625
alphaearth_embeddings,AlphaEarth Embeddings,3316,1508,1808,0.9485982576700077,0.9352559755725898,0.8812916656885988,0.8720076603894031,0.8406153846153847,0.9058355437665783,0.8567477876106194,0.08752497149163196,0.29374635484490785,0.027216090194290717,0.4183290043987429
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,3316,1508,1808,0.9664484841905119,0.9585358039192448,0.9113775204807399,0.9034165571616294,0.8951822916666666,0.9118037135278515,0.9109513274336283,0.06628454055754206,0.23232483291084857,0.02431917833697571,0.48459095752267917
