label,hazard_type,spatial_block_1deg,longitude,latitude,sample_id,feature_set,feature_set_name,held_out_domain,dissimilarity_index,inside_aoa
0,non_landslide,63_26,63.45587073341117,26.23641864635537,0,conventional,Conventional,Balochistan,0.6871412348343265,True
0,non_landslide,63_26,63.044888766618215,26.609221789928725,1,conventional,Conventional,Balochistan,0.6248391132222461,True
0,non_landslide,63_26,63.72760835160816,26.263369453122408,2,conventional,Conventional,Balochistan,0.5944885070241054,True
0,non_landslide,63_26,63.875833329725744,26.76867478449889,3,conventional,Conventional,Balochistan,0.5230782242343684,True
0,non_landslide,63_26,63.30315544053276,26.24989404973889,4,conventional,Conventional,Balochistan,0.5317131648442628,True
0,non_landslide,63_26,63.67371119717515,26.301548276342007,5,conventional,Conventional,Balochistan,0.49287485624301214,True
0,non_landslide,63_26,63.87133855586387,26.19374950837496,6,conventional,Conventional,Balochistan,0.5428355888560678,True
0,non_landslide,63_26,63.71413294822464,26.050019304119232,7,conventional,Conventional,Balochistan,0.4255288325728736,True
0,non_landslide,63_26,63.5120152747751,26.05226669105017,8,conventional,Conventional,Balochistan,0.861687496823747,True
0,non_landslide,63_26,63.646760390408126,26.98875817609277,9,conventional,Conventional,Balochistan,0.4482241155256913,True
0,non_landslide,63_26,63.16167262320796,26.19150658054507,10,conventional,Conventional,Balochistan,0.5101965736337136,True
0,non_landslide,63_26,63.27396170593584,26.139852353941954,11,conventional,Conventional,Balochistan,0.6250648353885909,True
0,non_landslide,63_26,63.19984698732652,26.717020557895776,12,conventional,Conventional,Balochistan,0.5912934257580147,True
0,non_landslide,63_26,63.19760405949663,26.13536203918113,13,conventional,Conventional,Balochistan,0.6811532660376481,True
0,non_landslide,63_26,63.83091680481439,26.51489842534518,14,conventional,Conventional,Balochistan,0.48134132056643475,True
0,non_landslide,63_26,63.61980958364111,26.35769281770595,15,conventional,Conventional,Balochistan,0.4660058911017668,True
0,non_landslide,63_26,63.1796383413523,26.67884173467617,16,conventional,Conventional,Balochistan,0.5863599175607588,True
0,non_landslide,63_26,63.50078279922147,26.47671960212558,17,conventional,Conventional,Balochistan,0.5632472421348952,True
0,non_landslide,63_26,63.698414617011245,26.7507046072535,18,conventional,Conventional,Balochistan,0.4491568661910208,True
0,non_landslide,63_26,63.761296860066935,26.485704690748268,19,conventional,Conventional,Balochistan,0.5118477812643984,True
0,non_landslide,63_26,63.17514356749042,26.63167782283388,20,conventional,Conventional,Balochistan,0.31983706590693883,True
0,non_landslide,63_26,63.71862772208652,26.227438016833734,21,conventional,Conventional,Balochistan,0.5994754729776341,True
0,non_landslide,63_26,63.90053674956183,26.512651038414244,22,conventional,Conventional,Balochistan,0.7048832726964795,True
0,non_landslide,64_28,64.60795975438786,28.244155650275705,23,conventional,Conventional,Balochistan,0.4925396312732058,True
0,non_landslide,64_28,64.91563326797457,28.71127769933154,24,conventional,Conventional,Balochistan,0.3473205598879582,True
0,non_landslide,64_28,64.67757969913532,28.30479050640046,25,conventional,Conventional,Balochistan,0.5528674136230002,True
0,non_landslide,64_28,64.04426695381756,28.06449400973132,26,conventional,Conventional,Balochistan,0.5683862333891567,True
0,non_landslide,64_28,64.7180014501848,28.055508921108625,27,conventional,Conventional,Balochistan,0.538628723104731,True
0,non_landslide,64_28,64.04875726857837,28.062246622800384,28,conventional,Conventional,Balochistan,0.5906778821031778,True
0,non_landslide,64_28,64.96953042240757,28.72251017488517,29,conventional,Conventional,Balochistan,0.4638821659543584,True
0,non_landslide,64_28,64.53609242270947,28.74945652255114,30,conventional,Conventional,Balochistan,0.5157030385894812,True
0,non_landslide,64_28,64.1161298263949,28.45301548451805,31,conventional,Conventional,Balochistan,0.5933665626195748,True
0,non_landslide,64_28,64.19248747283412,28.666365633521227,32,conventional,Conventional,Balochistan,0.48972975975919253,True
0,non_landslide,64_28,64.90440079242094,28.149832285692163,33,conventional,Conventional,Balochistan,0.48541800677569863,True
0,non_landslide,64_28,64.05773789810002,28.41932697605928,34,conventional,Conventional,Balochistan,0.5049231219496839,True
0,non_landslide,64_28,64.35867370999497,28.97403468800688,35,conventional,Conventional,Balochistan,0.529336645210945,True
0,non_landslide,64_28,64.92910421225703,28.58551321322015,36,conventional,Conventional,Balochistan,0.7443943739990337,True
0,non_landslide,64_28,64.10939212470313,28.22394254520044,37,conventional,Conventional,Balochistan,0.44455024067250626,True
0,non_landslide,64_28,64.385624516762,28.059999235869444,38,conventional,Conventional,Balochistan,0.3825860180383313,True
0,non_landslide,64_28,64.79884941138485,28.73598111916763,39,conventional,Conventional,Balochistan,0.5937078140746735,True
0,non_landslide,66_27,66.43603065866274,27.76355819783636,40,conventional,Conventional,Balochistan,0.6440676985587489,True
0,non_landslide,66_27,66.12386683031522,27.774786214288937,41,conventional,Conventional,Balochistan,0.6196260524626575,True
0,non_landslide,66_27,66.24289361473485,27.561436065285765,42,conventional,Conventional,Balochistan,0.5785061142475943,True
0,non_landslide,66_27,66.48543749833493,27.92974443499724,43,conventional,Conventional,Balochistan,0.5292204000757232,True
0,non_landslide,66_27,66.7369664705577,27.172914590499023,44,conventional,Conventional,Balochistan,0.6409787575239733,True
0,non_landslide,66_27,66.0497521117059,27.89156561177764,45,conventional,Conventional,Balochistan,0.5536250734019835,True
0,non_landslide,66_27,66.55730037091226,27.50978183868265,46,conventional,Conventional,Balochistan,0.4961901626337053,True
0,non_landslide,66_27,66.84925555328557,27.947710153141564,47,conventional,Conventional,Balochistan,0.8559589117431489,True
0,non_landslide,66_27,66.08119323323375,27.597367501574432,48,conventional,Conventional,Balochistan,0.46099000215540337,True
0,non_landslide,66_27,66.78637331022989,27.50080120916101,49,conventional,Conventional,Balochistan,0.5943239477353006,True
0,non_landslide,66_27,66.44950606204627,27.334610512899083,50,conventional,Conventional,Balochistan,0.46242003251533953,True
0,non_landslide,66_27,66.67857454226284,27.925254120236417,51,conventional,Conventional,Balochistan,0.5027802175717238,True
0,non_landslide,66_27,66.93908414400725,27.69393825308892,52,conventional,Conventional,Balochistan,0.7005334847371593,True
0,non_landslide,66_27,66.68306485702365,27.47160301546305,53,conventional,Conventional,Balochistan,0.42807489895371925,True
0,non_landslide,66_27,66.34170729407921,27.76355819783636,54,conventional,Conventional,Balochistan,0.5305533318985741,True
0,non_landslide,66_27,66.89417207819695,27.101047258820643,55,conventional,Conventional,Balochistan,0.40707243105471264,True
0,non_landslide,66_27,66.33721697931838,27.058378120840217,56,conventional,Conventional,Balochistan,0.6246704223254465,True
0,non_landslide,66_27,66.62467738782983,27.09880433099075,57,conventional,Conventional,Balochistan,0.845064120417267,True
0,non_landslide,66_27,66.64264310597416,27.28745106015784,58,conventional,Conventional,Balochistan,0.6001600989353535,True
0,non_landslide,66_27,66.9929857575413,27.6422840264858,59,conventional,Conventional,Balochistan,0.5039831816619651,True
