sensitivity_type,setting,block_size_deg,outer_buffer_km,inner_buffer_km,n,n_positive,n_negative,roc_auc,pr_auc,balanced_accuracy,f1,brier,ece_10bin
primary,1-degree blocks; 20 km buffers,1.0,20.0,20.0,3316,1508,1808,0.967283631839628,0.9595505104926824,0.9111574552240558,0.9031620553359684,0.0654842646587478,0.0237881993236114
buffer,1-degree blocks; 0 km buffers,1.0,0.0,0.0,3316,1508,1808,0.9722501379075608,0.9649845664993166,0.924976086242107,0.918086500655308,0.0599877397746103,0.0187985148546029
buffer,1-degree blocks; 10 km buffers,1.0,10.0,10.0,3316,1508,1808,0.9700447172601582,0.962077574666734,0.91933801436586,0.912015758371635,0.0621739372886284,0.0192907601496219
buffer,1-degree blocks; 40 km buffers,1.0,40.0,40.0,3316,1508,1808,0.961970889767846,0.9540798633626932,0.9059030304452946,0.8975450081833061,0.0697364549877526,0.0319465044466526
block_size,0.5-degree blocks; 20 km buffers,0.5,20.0,20.0,3316,1508,1808,0.9734692994295908,0.9635841419735068,0.9261864451538696,0.919250645994832,0.0584664081027561,0.0256993035762459
block_size,2-degree blocks; 20 km buffers,2.0,20.0,20.0,3316,1508,1808,0.9674431791507244,0.9571399713340756,0.9088827140207976,0.9008718114304164,0.0686846738821597,0.032430366650648
