feature_set,model,feature_set_name,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,brier_mean,brier_std
conventional_reduced,xgboost,Conventional,XGBoost,0.8069320546146104,0.0616531235149009,0.6972293683173634,0.1866465756028528,0.6469614109966113,0.0640119123353397,0.5048570048592029,0.1452114384131035,0.2019109580676475,0.022260911116572
alphaearth_only,xgboost,AlphaEarth Embeddings,XGBoost,0.9476102683412954,0.024973543091583,0.9232334863841404,0.0564660252058625,0.8755355444378224,0.0432881045423836,0.8534558719244829,0.0650729233186106,0.0865775303708978,0.0200502981735757
fused_reduced,xgboost,Conventional + AlphaEarth Embeddings,XGBoost,0.9500909259559388,0.0242665210712507,0.9269308864177356,0.0568365453464215,0.8777423630032866,0.0406389976308913,0.8567075670420591,0.0610417856795411,0.0857164199071181,0.0205089232041666
