comparison_a,comparison_b,metric,estimate_a,estimate_b,difference_a_minus_b,ci95_low,ci95_high,two_sided_bootstrap_p,bootstrap_repetitions,resampling_unit
conventional_alphaearth_embeddings,conventional,roc_auc,0.9672836318396281,0.9602389761977418,0.007044655641886277,0.00021103221105022162,0.014825848989768015,0.04,2000,1-degree spatial block
conventional_alphaearth_embeddings,conventional,pr_auc,0.9595505104926825,0.9524342953071986,0.007116215185483887,-0.0013362086563828645,0.022413393310111815,0.11,2000,1-degree spatial block
conventional_alphaearth_embeddings,conventional,brier,0.0654842646587478,0.07524383175498472,-0.009759567096236918,-0.01799809969360161,-0.0020050258227352967,0.015,2000,1-degree spatial block
conventional_alphaearth_embeddings,alphaearth_embeddings,roc_auc,0.9672836318396281,0.9481581271566396,0.01912550468298846,0.004444716240504884,0.037849643786846555,0.008,2000,1-degree spatial block
conventional_alphaearth_embeddings,alphaearth_embeddings,pr_auc,0.9595505104926825,0.9365311080686721,0.02301940242401035,0.008373072100533983,0.04671944465496418,0.003,2000,1-degree spatial block
conventional_alphaearth_embeddings,alphaearth_embeddings,brier,0.0654842646587478,0.08788803754661474,-0.022403772887866935,-0.03704974983937775,-0.008305174293119031,0.001,2000,1-degree spatial block
conventional,alphaearth_embeddings,roc_auc,0.9602389761977418,0.9481581271566396,0.012080849041102182,-0.00769580847974595,0.03250740836686777,0.248,2000,1-degree spatial block
conventional,alphaearth_embeddings,pr_auc,0.9524342953071986,0.9365311080686721,0.01590318723852646,-0.008213373185700475,0.04047103249569828,0.2,2000,1-degree spatial block
conventional,alphaearth_embeddings,brier,0.07524383175498472,0.08788803754661474,-0.012644205791630017,-0.03212715313086288,0.006221695119892214,0.178,2000,1-degree spatial block
