file,valid_pixels,nodata_pixels,min,p50,p80,p90,max,mean,std,year
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2017\02_probability_maps_250m\cpec_2017_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif,19996413,46631271,0.0203831996768713,0.03414411470293999,0.1318037360906601,0.42218637466430664,0.9949777722358704,0.13181272149085999,0.23055791854858398,2017
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2018\02_probability_maps_250m\cpec_2018_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif,19996413,46631271,0.020377222448587418,0.031292032450437546,0.12633591890335083,0.4417957067489624,0.9950510263442993,0.1321677714586258,0.23689943552017212,2018
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2019\02_probability_maps_250m\cpec_2019_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif,19996413,46631271,0.020383834838867188,0.031854793429374695,0.10033201426267624,0.2977745831012726,0.9949618577957153,0.1127588078379631,0.2074999362230301,2019
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2020\02_probability_maps_250m\cpec_2020_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif,19996413,46631271,0.02038581110537052,0.035469986498355865,0.12715622782707214,0.37476426362991333,0.9949377775192261,0.12665431201457977,0.22026567161083221,2020
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2021\02_probability_maps_250m\cpec_2021_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif,19996413,46631271,0.02037987858057022,0.03623494133353233,0.15820331871509552,0.4827125668525696,0.9948692917823792,0.1422644406557083,0.239084854722023,2021
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2022\02_probability_maps_250m\cpec_2022_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif,19996413,46631271,0.02039271406829357,0.03728686273097992,0.15427814424037933,0.46180346608161926,0.9947785139083862,0.1398363560438156,0.23338055610656738,2022
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2023\02_probability_maps_250m\cpec_2023_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif,19996413,46631271,0.02037956379354,0.03489556536078453,0.12227557599544525,0.357460618019104,0.9949264526367188,0.12367170304059982,0.21683165431022644,2023
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2024\02_probability_maps_250m\cpec_2024_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif,19996413,46631271,0.020376402884721756,0.03252480551600456,0.10981664061546326,0.3369501233100891,0.9950927495956421,0.11842432618141174,0.21372053027153015,2024
