feature_set,feature_set_name,outer_fold,n_train_before_buffer,n_train_after_buffer,n_test,n_test_positive,n_test_negative,outer_buffer_km,inner_buffer_km,roc_auc,pr_auc,balanced_accuracy,f1,precision,sensitivity,specificity,brier,log_loss,ece_10bin,threshold
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,1,986,899,400,243,157,20.0,20.0,0.945427380671542,0.9679875556362264,0.8751146758931614,0.9038854805725971,0.8983739837398373,0.9094650205761317,0.8407643312101911,0.09052399502004892,0.29705801198234216,0.0294601180618311,0.3791812820262481
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,2,1069,958,317,156,161,20.0,20.0,0.9710144927536232,0.9767560251498641,0.9210662525879917,0.9196141479099679,0.9225806451612903,0.9166666666666666,0.9254658385093167,0.06063748967145034,0.2215685267824511,0.050734383060470505,0.37467408808820823
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,3,1168,1086,218,106,112,20.0,20.0,0.9668126684636119,0.9713414760589681,0.9108827493261455,0.9035532994923858,0.978021978021978,0.839622641509434,0.9821428571428571,0.07618586562406808,0.2568572137815097,0.06430363016310423,0.5024470513377632
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,4,1188,1068,198,77,121,20.0,20.0,0.9612536224106472,0.9560659527517698,0.8766233766233766,0.8421052631578947,0.7659574468085106,0.935064935064935,0.8181818181818182,0.07265840736521098,0.2546511384165335,0.05315129810421387,0.20592228862794998
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,5,1133,1080,253,111,142,20.0,20.0,0.9711331049359218,0.9688309246306487,0.8763481791650806,0.8629032258064516,0.781021897810219,0.963963963963964,0.7887323943661971,0.08381362842212413,0.28411561894555054,0.09001143892218241,0.2084914554893409
