feature_set,feature,feature_name,mean_abs_shap,mean_shap
Conventional + AlphaEarth Embeddings,ndvi_amplitude,NDVI amplitude,0.027178798671362678,0.003926883021865988
Conventional + AlphaEarth Embeddings,A41,AlphaEarth A41,0.023898356619391426,-0.001733400843924572
Conventional + AlphaEarth Embeddings,A49,AlphaEarth A49,0.02373048098828934,-0.002669040309459701
Conventional + AlphaEarth Embeddings,A31,AlphaEarth A31,0.02271234594438446,-0.0038681634219179567
Conventional + AlphaEarth Embeddings,A32,AlphaEarth A32,0.02209184731355745,-0.0016201457687439005
Conventional + AlphaEarth Embeddings,A18,AlphaEarth A18,0.01974546352671495,-0.00015247505147090095
Conventional + AlphaEarth Embeddings,A42,AlphaEarth A42,0.018829942377882273,-0.0024759561674272857
Conventional + AlphaEarth Embeddings,A35,AlphaEarth A35,0.017999584316529323,-0.0015253884821976483
Conventional + AlphaEarth Embeddings,A40,AlphaEarth A40,0.016971467564335742,0.003602231245458094
Conventional + AlphaEarth Embeddings,A53,AlphaEarth A53,0.01673034338185244,-0.0017704165357092252
Conventional + AlphaEarth Embeddings,A28,AlphaEarth A28,0.014080731670234506,0.0027005045077670743
Conventional + AlphaEarth Embeddings,A23,AlphaEarth A23,0.013630895684612182,-0.00014991165586507096
Conventional + AlphaEarth Embeddings,A10,AlphaEarth A10,0.013570233602634835,-0.006334229667076575
Conventional + AlphaEarth Embeddings,A12,AlphaEarth A12,0.012975841550622114,-0.0017625203484451033
Conventional + AlphaEarth Embeddings,A11,AlphaEarth A11,0.012808324156954291,-0.0025950851953560304
Conventional + AlphaEarth Embeddings,eq_density_ms5,Earthquake density > Ms5,0.012481071718940426,-3.486769137925835e-05
Conventional + AlphaEarth Embeddings,A62,AlphaEarth A62,0.011686952287695302,0.0019379664318838862
Conventional + AlphaEarth Embeddings,A59,AlphaEarth A59,0.010657012587698427,-7.11278344875603e-05
Conventional + AlphaEarth Embeddings,slope_deg,Slope,0.009578293143774487,-0.0014164530841335391
Conventional + AlphaEarth Embeddings,A63,AlphaEarth A63,0.006577304329619433,0.0006889731409781239
Conventional + AlphaEarth Embeddings,modis_lc_type1,MODIS land cover,0.005718958192830906,-0.001086857970869458
