experiment,feature_set,feature_set_name,n,n_positive,n_negative,roc_auc,pr_auc,balanced_accuracy,f1,precision,sensitivity,specificity,brier,log_loss,ece_10bin,threshold,delta_roc_auc_vs_primary_fused,delta_pr_auc_vs_primary_fused,delta_brier_vs_primary_fused
accessibility_matched_controls_repeat_01,conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,3016,1508,1508,0.9502489815590062,0.9587902218538759,0.8796419098143236,0.8811005568293482,0.8705501618122977,0.8919098143236074,0.8673740053050398,0.08484153620808489,0.283979073932299,0.021633920331210595,0.3251687994310354,-0.017034650280621788,-0.0007602886388065055,0.019357271549337085
accessibility_matched_controls_repeat_02,conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,3016,1508,1508,0.9489086498884816,0.9558893550369194,0.8756631299734747,0.877889938130902,0.8624440179142674,0.8938992042440318,0.8574270557029178,0.08568803456879681,0.28716556890004624,0.019203543223056077,0.3491602156256933,-0.018374981951146396,-0.0036611554557629544,0.020203769910049005
accessibility_matched_controls_repeat_03,conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,3016,1508,1508,0.9470951565127455,0.9567501325567366,0.8716843501326259,0.8716417910447761,0.8719309887193099,0.8713527851458885,0.8720159151193634,0.08833061494958579,0.2906910962820922,0.03340633430263657,0.32933342149262645,-0.020188475326882505,-0.002800377935945786,0.02284635029083798
inventory_typology_landslide_only,conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,1630,815,815,0.91145620836313,0.9207238049391244,0.8263803680981595,0.8304373876572798,0.8114754098360656,0.8503067484662576,0.8024539877300614,0.11739024425275749,0.37801607029521683,0.030248413459921616,0.32084376772305884,-0.05582742347649794,-0.03882670555355794,0.05190597959400968
inventory_typology_rockfall_only,conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,1386,693,693,0.9577198494947413,0.964346568468946,0.8903318903318904,0.8926553672316384,0.8741355463347165,0.911976911976912,0.8686868686868687,0.07765614256062434,0.26504868498343503,0.02406437608462878,0.37467408808820823,-0.00956378234488664,0.00479605797626359,0.01217187790187653
road_distance_ablation,conventional_alphaearth_embeddings_no_road_distance,Conventional + AlphaEarth Embeddings (road-distance ablation),3316,1508,1808,0.952135439895777,0.9407977814613725,0.8786435470998333,0.8686934023285899,0.8478535353535354,0.8905835543766578,0.8667035398230089,0.0832155362403012,0.2847752361415626,0.0290900793357149,0.46324479531582,-0.015148191943850975,-0.018752729031309867,0.017731271581553396
