repeat,factor,positive_mean,control_mean,standardised_mean_difference,absolute_standardised_mean_difference,experiment,design
1,elevation_m,1805.1177611180265,1844.0365,-0.035089534016949,0.035089534016949,accessibility_matched_controls_repeat_01,raster_matched
1,slope_deg,19.33387266607357,18.2854,0.0821684891233561,0.0821684891233561,accessibility_matched_controls_repeat_01,raster_matched
1,log1p_dist_road_m,7.830464310310223,7.7999825,0.0124666015667036,0.0124666015667036,accessibility_matched_controls_repeat_01,raster_matched
1,log1p_dist_river_m,8.003722833271336,8.177988,-0.0894258613747489,0.0894258613747489,accessibility_matched_controls_repeat_01,raster_matched
1,log1p_dist_fault_m,8.978773136570325,9.098924,-0.0790564659333586,0.0790564659333586,accessibility_matched_controls_repeat_01,raster_matched
1,rain_monsoon_total,110.30384669371878,107.78741,0.015566908339654,0.015566908339654,accessibility_matched_controls_repeat_01,raster_matched
2,elevation_m,1805.1177611180265,1834.4518,-0.0265480262226833,0.0265480262226833,accessibility_matched_controls_repeat_02,raster_matched
2,slope_deg,19.33387266607357,18.32658,0.078951991072743,0.078951991072743,accessibility_matched_controls_repeat_02,raster_matched
2,log1p_dist_road_m,7.830464310310223,7.7886753,0.0171311685302396,0.0171311685302396,accessibility_matched_controls_repeat_02,raster_matched
2,log1p_dist_river_m,8.003722833271336,8.182411,-0.0918382497514142,0.0918382497514142,accessibility_matched_controls_repeat_02,raster_matched
2,log1p_dist_fault_m,8.978773136570325,9.088338,-0.0718524611653661,0.0718524611653661,accessibility_matched_controls_repeat_02,raster_matched
2,rain_monsoon_total,110.30384669371878,107.85356,0.0150948890989321,0.0150948890989321,accessibility_matched_controls_repeat_02,raster_matched
3,elevation_m,1805.1177611180265,1849.9598,-0.0404941032246626,0.0404941032246626,accessibility_matched_controls_repeat_03,raster_matched
3,slope_deg,19.33387266607357,18.31661,0.0794522398168971,0.0794522398168971,accessibility_matched_controls_repeat_03,raster_matched
3,log1p_dist_road_m,7.830464310310223,7.8018813,0.0116709346084123,0.0116709346084123,accessibility_matched_controls_repeat_03,raster_matched
3,log1p_dist_river_m,8.003722833271336,8.1813755,-0.091286415396196,0.091286415396196,accessibility_matched_controls_repeat_03,raster_matched
3,log1p_dist_fault_m,8.978773136570325,9.090696,-0.0733460408235621,0.0733460408235621,accessibility_matched_controls_repeat_03,raster_matched
3,rain_monsoon_total,110.30384669371878,108.31731,0.0122526333972698,0.0122526333972698,accessibility_matched_controls_repeat_03,raster_matched
100,elevation_m,2296.754079248861,2331.66943359375,-0.03246805476704128,0.03246805476704128,inventory_typology_landslide_only,raster_matched
100,slope_deg,25.459883798338883,24.61764907836914,0.07210962736859058,0.07210962736859058,inventory_typology_landslide_only,raster_matched
100,log1p_dist_road_m,7.5016552763515,7.504639625549316,-0.0013284104750979164,0.0013284104750979164,inventory_typology_landslide_only,raster_matched
100,log1p_dist_river_m,7.937266516435126,8.115734100341797,-0.09359032187613607,0.09359032187613607,inventory_typology_landslide_only,raster_matched
100,log1p_dist_fault_m,9.279622380099218,9.398885726928711,-0.07733742682987965,0.07733742682987965,inventory_typology_landslide_only,raster_matched
100,rain_monsoon_total,142.3194789184383,139.1015167236328,0.016264626819569784,0.016264626819569784,inventory_typology_landslide_only,raster_matched
100,elevation_m,1226.9307491748364,1264.4854736328125,-0.045634834890851864,0.045634834890851864,inventory_typology_rockfall_only,raster_matched
100,slope_deg,12.129400699556648,11.193490028381348,0.09636849415090014,0.09636849415090014,inventory_typology_rockfall_only,raster_matched
100,log1p_dist_road_m,8.217158917346815,8.191241264343262,0.009846215442550075,0.009846215442550075,inventory_typology_rockfall_only,raster_matched
100,log1p_dist_river_m,8.081878530560672,8.2355375289917,-0.07659732306671978,0.07659732306671978,inventory_typology_rockfall_only,raster_matched
100,log1p_dist_fault_m,8.62496053415179,8.71413803100586,-0.06279716067712893,0.06279716067712893,inventory_typology_rockfall_only,raster_matched
100,rain_monsoon_total,72.65198484213666,71.5633544921875,0.01164242008462357,0.01164242008462357,inventory_typology_rockfall_only,raster_matched
