feature_set,held_out_domain,model,n_train,n_test,train_positive,test_positive,test_negative,roc_auc,pr_auc_ap,balanced_accuracy,f1,precision,recall,brier,threshold,mean_abs_standardized_mean_difference,mean_js_divergence
Conventional,KP-AJK,Spatial-CV Stacked Ensemble,2965,351,1341,167,184,0.9696042697214268,0.9656050000417284,0.8869272324915387,0.8870523415977961,0.8214285714285714,0.9640718562874252,0.0728428230539695,0.3549999999999999,0.6798749696713587,0.1292301056079674
AlphaEarth Embeddings,KP-AJK,Spatial-CV Stacked Ensemble,2965,351,1341,167,184,0.9654712314501432,0.9533587229590468,0.917599583441812,0.913946587537092,0.9058823529411764,0.9221556886227544,0.0662888378776394,0.5299999999999999,0.4152079702182498,0.0516335521181855
Conventional + AlphaEarth Embeddings,KP-AJK,Spatial-CV Stacked Ensemble,2965,351,1341,167,184,0.9764058838844052,0.9728344928887266,0.9317397813069512,0.9285714285714286,0.9230769230769232,0.934131736526946,0.0573469174025872,0.4399999999999999,0.4757943917798048,0.0693966185797018
