valid_pixels,min,p01,p05,p25,median,p75,p95,p99,max,mean,near_zero_percent_le_0_001,domain,feature_set,product
2232492,0.016062485054135323,0.017948315907269717,0.020150119345635174,0.03561087604612112,0.0872998908162117,0.3000136762857437,0.9173271775245664,0.9907099062204361,0.9987200498580933,0.22502151131629944,0.0,KP-AJK,Conventional,raw_probability
2232492,0.0,0.0,0.0,0.0,0.0,0.0,0.03588002324104306,0.19937093377113202,0.6552180647850037,0.0078557338565588,94.06255431150481,KP-AJK,Conventional,transfer_confidence
2232492,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.05967053771018982,94.03294614269613,KP-AJK,Conventional,in_area_of_applicability
2232492,0.0,0.0,0.0,0.0,0.0,0.0,0.0015158302732742783,0.02913998560979946,0.3907434642314911,0.0009278282523155212,94.6184353628143,KP-AJK,Conventional,reliability_weighted_probability
2232492,0.03265693411231041,0.03572798285633325,0.03659623693674803,0.04238786920905113,0.07327720895409584,0.28223008662462234,0.9157048016786574,0.9731400066614151,0.9811203479766846,0.2239346206188202,0.0,KP-AJK,AlphaEarth Embeddings,raw_probability
2232492,0.0,0.0,0.0,0.043414726853370667,0.20764830708503723,0.3562420606613159,0.5279710829257964,0.6228542089462277,0.999999463558197,0.21932975947856903,20.008044821661176,KP-AJK,AlphaEarth Embeddings,transfer_confidence
2232492,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8009923696517944,19.900765601847624,KP-AJK,AlphaEarth Embeddings,in_area_of_applicability
2232492,0.0,0.0,0.0,0.004298305371776223,0.015207740478217602,0.03013027925044298,0.21235284060239756,0.3899946022033691,0.9809005260467529,0.04127224162220955,20.96298665347961,KP-AJK,AlphaEarth Embeddings,reliability_weighted_probability
2232492,0.020397992804646492,0.02125140804797411,0.022356085665524005,0.030247570481151342,0.059081291779875755,0.20209631696343422,0.9201166093349444,0.9865728884935379,0.9950032234191895,0.19426892697811127,0.0,KP-AJK,Conventional + AlphaEarth Embeddings,raw_probability
2232492,0.0,0.0,0.0,0.12399525940418243,0.24543416500091553,0.35479094088077545,0.4890250355005261,0.5664040821790695,0.7679281234741211,0.24178144335746765,9.418533190712441,KP-AJK,Conventional + AlphaEarth Embeddings,transfer_confidence
2232492,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9066518545150757,9.334815085563577,KP-AJK,Conventional + AlphaEarth Embeddings,in_area_of_applicability
2232492,0.0,0.0,0.0,0.0075099136447533965,0.01183505542576313,0.028531134128570557,0.1626772098243236,0.2961509704589842,0.6923788785934448,0.033864423632621765,10.311033589370085,KP-AJK,Conventional + AlphaEarth Embeddings,reliability_weighted_probability
2232492,0.0,0.0,0.0,0.006985686952248216,0.01102441642433405,0.021822883281856775,0.11110643222927943,0.2455542802810664,0.6794421672821045,0.02580329217016697,10.50073191751639,KP-AJK,Final fused,final_fused_reliability_aware_score
2232492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0009711121092550457,99.90288878974705,KP-AJK,Final fused,final_reliable_high_mask
2232492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004299231339246035,99.57007684685992,KP-AJK,Final fused,final_reliable_very_high_mask
2232492,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.30811935663223267,69.18806427973762,KP-AJK,Final fused,final_uncertain_high_mask
2232492,0.005518028046935797,0.01009281144477427,0.012331532826647163,0.020661511458456516,0.047344278544187546,0.27011696994304657,0.8532761603593823,1.0,1.0,0.19344371557235718,0.0,KP-AJK,Final fused,field_verification_priority_score
2232492,2.970463174278848e-05,0.00337826335337013,0.0052429779665544626,0.008202634053304791,0.02585297729820013,0.09689056687057018,0.2634472683072088,0.34490762233734085,0.42873913049697876,0.06732253730297089,0.05115359875869656,KP-AJK,Final fused,model_disagreement_std
