feature_set,model,curve,x,y,threshold
conventional_v3,stacked_l2_logistic,roc,0.0,0.0,inf
conventional_v3,stacked_l2_logistic,roc,0.0,0.000663129973474801,0.9991141616513526
conventional_v3,stacked_l2_logistic,roc,0.0,0.012599469496021221,0.9989460599863591
conventional_v3,stacked_l2_logistic,roc,0.0,0.013925729442970823,0.9989181603305639
conventional_v3,stacked_l2_logistic,roc,0.0,0.022546419098143235,0.9988284015622558
conventional_v3,stacked_l2_logistic,roc,0.0,0.023872679045092837,0.9988209225065295
conventional_v3,stacked_l2_logistic,roc,0.0,0.02586206896551724,0.9987851432520916
conventional_v3,stacked_l2_logistic,roc,0.0,0.027188328912466843,0.9987368288039367
conventional_v3,stacked_l2_logistic,roc,0.0,0.029177718832891247,0.9986470253586834
conventional_v3,stacked_l2_logistic,roc,0.0,0.03050397877984085,0.9986468752436094
conventional_v3,stacked_l2_logistic,roc,0.0,0.03978779840848806,0.9983961947787543
conventional_v3,stacked_l2_logistic,roc,0.0,0.04111405835543767,0.9983936089205449
conventional_v3,stacked_l2_logistic,roc,0.0,0.0603448275862069,0.998014324370066
conventional_v3,stacked_l2_logistic,roc,0.0,0.0616710875331565,0.9979908927838406
conventional_v3,stacked_l2_logistic,roc,0.0,0.0643236074270557,0.9979633083564139
conventional_v3,stacked_l2_logistic,roc,0.0,0.0656498673740053,0.997961952995071
conventional_v3,stacked_l2_logistic,roc,0.0,0.09018567639257294,0.9975879227531973
conventional_v3,stacked_l2_logistic,roc,0.0,0.09151193633952255,0.9975862183262244
conventional_v3,stacked_l2_logistic,roc,0.0,0.10145888594164457,0.9973805092935721
conventional_v3,stacked_l2_logistic,roc,0.0,0.10278514588859416,0.9973765196318537
conventional_v3,stacked_l2_logistic,roc,0.0,0.10543766578249338,0.9973325918368139
conventional_v3,stacked_l2_logistic,roc,0.0,0.10676392572944297,0.9973164621594134
conventional_v3,stacked_l2_logistic,roc,0.0,0.11140583554376658,0.9972770590388748
conventional_v3,stacked_l2_logistic,roc,0.0,0.11273209549071618,0.9972682407786309
conventional_v3,stacked_l2_logistic,roc,0.0,0.11737400530503979,0.9972298873906318
conventional_v3,stacked_l2_logistic,roc,0.0,0.11870026525198939,0.9972260299018127
conventional_v3,stacked_l2_logistic,roc,0.0,0.14058355437665782,0.9969064779266398
conventional_v3,stacked_l2_logistic,roc,0.0,0.14323607427055704,0.9968968871653175
conventional_v3,stacked_l2_logistic,roc,0.0,0.14456233421750664,0.9968583172063918
conventional_v3,stacked_l2_logistic,roc,0.0,0.14588859416445624,0.9968461616237111
conventional_v3,stacked_l2_logistic,roc,0.0,0.15185676392572944,0.9967357874664632
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.15185676392572944,0.9967319745392957
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.15450928381962864,0.9967226422408507
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.16976127320954906,0.9964144320823141
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.17108753315649866,0.996398875862302
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.17904509283819628,0.9963150370125381
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.18037135278514588,0.9962555544290407
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.19363395225464192,0.9959667158025722
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.19496021220159152,0.9959640603411549
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.2002652519893899,0.9958998293747473
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.20159151193633953,0.9958879074681911
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.21087533156498675,0.9957898242859812
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.21220159151193635,0.9957857382105954
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.21286472148541113,0.9957653783075668
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.21419098143236073,0.995759688652443
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.22082228116710875,0.9955371803399984
conventional_v3,stacked_l2_logistic,roc,0.0005530973451327434,0.22214854111405835,0.9955296555789827
