feature_set,feature_set_name,model,model_name,fold,n_train,n_test,n_test_pos,n_test_neg,roc_auc,pr_auc,balanced_accuracy,f1,brier,threshold
alphaearth_embeddings,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),4,2846,470,140,330,0.9693506493506494,0.927694710730941,0.9106060606060606,0.863013698630137,0.06474220986456056,0.5159979027057569
alphaearth_embeddings,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),5,2742,574,241,333,0.9597024410302418,0.9463875971340848,0.9108133029294855,0.8957055214723927,0.07479003462209777,0.5217583872843712
alphaearth_embeddings,AlphaEarth Embeddings,random_forest,Random Forest,1,2592,724,399,325,0.9376363986890301,0.9467614415966769,0.8591170233275496,0.8645833333333334,0.1066046209870737,0.5056125550797567
alphaearth_embeddings,AlphaEarth Embeddings,random_forest,Random Forest,2,2411,905,532,373,0.9438257171077827,0.9453602753766355,0.8631347134592513,0.8726554787759131,0.10422770234588294,0.4969841351037967
alphaearth_embeddings,AlphaEarth Embeddings,random_forest,Random Forest,3,2673,643,196,447,0.8906999041227229,0.7907507833441854,0.7722515180568872,0.6938775510204082,0.11999764310479469,0.5382840771902261
alphaearth_embeddings,AlphaEarth Embeddings,random_forest,Random Forest,4,2846,470,140,330,0.9713203463203463,0.9381344744285159,0.9170995670995671,0.8825622775800712,0.07008083086671675,0.5549478255613329
alphaearth_embeddings,AlphaEarth Embeddings,random_forest,Random Forest,5,2742,574,241,333,0.9538958045182112,0.9394009566191602,0.873387910732309,0.8539823008849557,0.08765805754608962,0.5538960023457106
alphaearth_embeddings,AlphaEarth Embeddings,extra_trees,Extra Trees,1,2592,724,399,325,0.936148062463852,0.9447293478294472,0.8181723539618276,0.7965367965367965,0.11058613681725239,0.6221527896111061
alphaearth_embeddings,AlphaEarth Embeddings,extra_trees,Extra Trees,2,2411,905,532,373,0.9475649579713361,0.9498680836476557,0.8447081174786832,0.8380355276907001,0.10090563129177921,0.599620572231568
alphaearth_embeddings,AlphaEarth Embeddings,extra_trees,Extra Trees,3,2673,643,196,447,0.8995913801762316,0.8137909731119585,0.7940921334976944,0.7252124645892352,0.11571070423336982,0.5163300644910616
alphaearth_embeddings,AlphaEarth Embeddings,extra_trees,Extra Trees,4,2846,470,140,330,0.9706493506493507,0.9336273976970807,0.9110389610389611,0.8701754385964913,0.07267104927427016,0.5484443594611768
alphaearth_embeddings,AlphaEarth Embeddings,extra_trees,Extra Trees,5,2742,574,241,333,0.9554782998766401,0.9361775738715219,0.8699487869612351,0.85,0.08931990185452675,0.5759483401506503
alphaearth_embeddings,AlphaEarth Embeddings,xgboost,XGBoost,1,2592,724,399,325,0.9484326200115674,0.9558194143689477,0.8695392326971274,0.8786717752234994,0.09509296530652822,0.44047433137893677
alphaearth_embeddings,AlphaEarth Embeddings,xgboost,XGBoost,2,2411,905,532,373,0.9495051301175189,0.9550715258132685,0.8848747203128464,0.89453125,0.09264817629194211,0.49700525403022766
alphaearth_embeddings,AlphaEarth Embeddings,xgboost,XGBoost,3,2673,643,196,447,0.9064169291877825,0.8231512008091518,0.8046100990731864,0.7388888888888889,0.11213072780952062,0.502271831035614
alphaearth_embeddings,AlphaEarth Embeddings,xgboost,XGBoost,4,2846,470,140,330,0.972012987012987,0.937462448253147,0.9147186147186147,0.8648648648648649,0.062027616511546556,0.5196720361709595
alphaearth_embeddings,AlphaEarth Embeddings,xgboost,XGBoost,5,2742,574,241,333,0.9616836753766215,0.9446628426761866,0.9039350553873375,0.8903225806451613,0.07098816593495191,0.5409178137779236
alphaearth_embeddings,AlphaEarth Embeddings,lightgbm,LightGBM,1,2592,724,399,325,0.9454559475612107,0.9541272077416256,0.8290534027376133,0.8086330935251799,0.10256209736552463,0.9011153363365617
alphaearth_embeddings,AlphaEarth Embeddings,lightgbm,LightGBM,2,2411,905,532,373,0.9486232336874357,0.955260721645379,0.8119368461367897,0.789010989010989,0.09528464352855999,0.8983585982961061
alphaearth_embeddings,AlphaEarth Embeddings,lightgbm,LightGBM,3,2673,643,196,447,0.9040428251837648,0.8191917319763052,0.7507647354243712,0.6645367412140575,0.1204611123977722,0.8326437126293343
alphaearth_embeddings,AlphaEarth Embeddings,lightgbm,LightGBM,4,2846,470,140,330,0.9708441558441558,0.936538273949905,0.9047619047619048,0.8773234200743495,0.05888842202018921,0.836566305732216
alphaearth_embeddings,AlphaEarth Embeddings,lightgbm,LightGBM,5,2742,574,241,333,0.9587305147471124,0.9464229137201876,0.8546347177052571,0.8301886792452831,0.07387995734229666,0.8510786637660671
alphaearth_embeddings,AlphaEarth Embeddings,catboost,CatBoost,1,2592,724,399,325,0.9518796992481203,0.9589921296280761,0.8755812608444187,0.8805194805194805,0.08598584155135014,0.5891189857982596
alphaearth_embeddings,AlphaEarth Embeddings,catboost,CatBoost,2,2411,905,532,373,0.9531939768993528,0.9538902174137329,0.8813773710415449,0.8884501480750246,0.08346436280005043,0.5760892785928391
alphaearth_embeddings,AlphaEarth Embeddings,catboost,CatBoost,3,2673,643,196,447,0.8971031365566361,0.8098260983746157,0.7934643656120166,0.7262247838616714,0.11549398332966125,0.5825258954369098
alphaearth_embeddings,AlphaEarth Embeddings,catboost,CatBoost,4,2846,470,140,330,0.971969696969697,0.9376941526318906,0.9232683982683982,0.8850174216027874,0.06071190921464375,0.5688361235037322
alphaearth_embeddings,AlphaEarth Embeddings,catboost,CatBoost,5,2742,574,241,333,0.9568988075212143,0.9446480271184645,0.892278170286469,0.8760683760683761,0.07972278151421415,0.5699442486998978
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),1,2592,724,399,325,0.9454636591478698,0.9525379733911367,0.8578638904954694,0.863102998696219,0.09899007447210204,0.5053384272454178
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),2,2411,905,532,373,0.9729182204841863,0.9804687503082651,0.9070304783406238,0.92,0.06479016512078314,0.6198847353608105
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),3,2673,643,196,447,0.9151942656257134,0.8399581701781582,0.7625382367712186,0.6807228915662651,0.12433514940178321,0.4680719006715467
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),4,2846,470,140,330,0.9785281385281385,0.9511428858487179,0.9125541125541126,0.8732394366197183,0.0525885820245199,0.4920114682262529
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),5,2742,574,241,333,0.9846734701506487,0.978264480915907,0.9470113266793765,0.9343936381709742,0.05075585344494743,0.5372722602807075
