road_group,segment_count,total_length_km,weighted_length_probability_p80_km,weighted_length_probability_p90_km,length_majority_p80_km,length_majority_p90_km,mean_probability_length_weighted,mean_uncertainty_length_weighted,mean_reliability_length_weighted
All clipped roads,1803,17066.006639336556,10620.41113415143,5521.258915497688,10472.279699557394,5597.828841853263,0.36462824339231104,0.1831722912989372,0.2015672337921882
KKH proxy routes (N35 / 314),148,1448.2228819979132,1396.1319729070042,1077.5452710082627,1398.2228819979132,1072.8196811578573,0.7483513242356289,0.17772846051113478,0.5525182174577633
