segment_id,length_km,route_code,is_kkh_proxy,iso_cc,road_type,road_rank,sample_n,mean_probability,max_probability,mean_uncertainty_std,mean_reliability_score,mean_added_value_fused_minus_conventional,mean_positive_added_value,high80_share,high90_share,very_high_zone_share,uncertainty_norm,priority_score,hotspot_rank
1613,10.000000000000027,N35,True,PK,Highway,1,11,0.9936825,0.9945911,0.007918435,0.9769919,-0.0032960663,0.0,1.0,1.0,1.0,0.016797537,1.0769910573959351,1
1597,9.999999999999972,N35,True,PK,Highway,1,10,0.99452436,0.99494183,0.008724334,0.97611886,-0.003971708,0.0,1.0,1.0,1.0,0.018507106,1.076118564605713,2
1596,10.000000000000048,N35,True,PK,Highway,1,11,0.99423563,0.9947805,0.008646169,0.97600037,-0.0041859094,0.0,1.0,1.0,1.0,0.018341294,1.0760000705718995,3
1598,10.000000000000027,N35,True,PK,Highway,1,11,0.994395,0.99491346,0.008793636,0.97584575,-0.0041775485,0.0,1.0,1.0,1.0,0.01865412,1.0758454561233521,4
1595,9.999999999999982,N35,True,PK,Highway,1,10,0.9941479,0.9948455,0.008891207,0.97539747,-0.004401219,0.0,1.0,1.0,1.0,0.018861098,1.0753971695899964,5
1594,10.0,N35,True,PK,Highway,1,11,0.9940248,0.9947705,0.0088544125,0.9753544,-0.004215105,0.0,1.0,1.0,1.0,0.018783046,1.075354015827179,6
1619,10.000000000000009,N35,True,PK,Highway,1,11,0.99356884,0.99472976,0.008674276,0.9752896,-0.0042364816,0.0,1.0,1.0,1.0,0.018400919,1.0752862453460694,7
1618,10.000000000000046,N35,True,PK,Highway,1,11,0.99409425,0.994781,0.008969641,0.9751799,-0.004081607,0.0,1.0,1.0,1.0,0.019027483,1.075179135799408,8
1556,10.000000000000007,N15,False,PK,Major road,2,11,0.994014,0.99466866,0.0091025,0.97482073,-0.0033542297,0.0,1.0,1.0,1.0,0.019309318,1.0748202562332154,9
1592,10.000000000000012,N35,True,PK,Highway,1,11,0.99370766,0.9943896,0.009023611,0.97468716,-0.0038869272,0.0,1.0,1.0,1.0,0.01914197,1.0746861457824708,10
1633,7.928253035307745,N35,True,PK,Highway,1,10,0.9934654,0.9947104,0.009186199,0.9741133,-0.004107666,0.0,1.0,1.0,1.0,0.01948687,1.0741058945655824,11
1593,9.999999999999979,N35,True,PK,Highway,1,10,0.9936495,0.99483305,0.009280563,0.97409236,-0.0045619966,0.0,1.0,1.0,1.0,0.019687047,1.0740874767303468,12
1547,9.999999999999867,N35,True,PK,Highway,1,10,0.9935015,0.99433494,0.009448208,0.97359115,-0.0044954955,0.0,1.0,1.0,1.0,0.020042676,1.073589062690735,13
1549,4.317699410477829,N35,True,PK,Highway,1,7,0.99285394,0.99368984,0.009410173,0.9730359,-0.0044004745,0.0,1.0,1.0,1.0,0.01996199,1.0730345606803895,14
1607,9.999999999999957,N35,True,PK,Highway,1,10,0.99394625,0.9949822,0.009947171,0.9729804,-0.004559636,0.0,1.0,1.0,1.0,0.021101138,1.072972869873047,15
1599,9.999999999999995,N35,True,PK,Highway,1,10,0.99385566,0.9945575,0.01010642,0.97254974,-0.00445447,0.0,1.0,1.0,1.0,0.021438954,1.0725484251976014,16
1632,10.000000000000073,N35,True,PK,Highway,1,11,0.99247515,0.9948353,0.009627379,0.97222275,-0.0046022753,0.0,1.0,1.0,1.0,0.020422755,1.0722060561180116,17
1697,9.999999999999888,314,True,CN,Highway,1,10,0.99400187,0.99460423,0.010561852,0.97173226,-0.004499167,0.0,1.0,1.0,1.0,0.022405071,1.071731185913086,18
